"",BBSF2.M.1.T.00000.DRE01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DRE01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Bonds funds / Sales receipts / World not allocated (geographically) / All issuer sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:12,
2009-09,29,
2009-10,120,
2009-11,72,
2009-12,38,
2010-01,50,
2010-02,112,
2010-03,148,
2010-04,89,
2010-05,62,
2010-06,11,
2010-07,40,
2010-08,85,
2010-09,131,
2010-10,105,
2010-11,120,
2010-12,285,
2011-01,49,
2011-02,38,
2011-03,39,
2011-04,16,
2011-05,298,
2011-06,32,
2011-07,95,
2011-08,71,
2011-09,187,
2011-10,148,
2011-11,84,
2011-12,276,
2012-01,125,
2012-02,26,
2012-03,16,
2012-04,21,
2012-05,31,
2012-06,137,
2012-07,110,
2012-08,18,
2012-09,7,
2012-10,10,
2012-11,42,
2012-12,292,
2013-01,94,
2013-02,17,
2013-03,42,
2013-04,192,
2013-05,36,
2013-06,128,
2013-07,34,
2013-08,11,
2013-09,57,
2013-10,79,
2013-11,34,
2013-12,202,
2014-01,39,
2014-02,12,
2014-03,92,
2014-04,10,
2014-05,13,
2014-06,20,
2014-07,81,
2014-08,14,
2014-09,27,
2014-10,20,
2014-11,16,
