"",BBK01.OEHL05O,BBK01.OEHL05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:57,
2002-01,0.031,
2002-04,0.034,
2002-07,0.035,
2002-10,0.039,
2003-01,0.038,
2003-04,0.037,
2003-07,0.036,
2003-10,0.038,
2004-01,0.035,
2004-04,0.034,
2004-07,0.035,
2004-10,0.034,
2005-01,0.032,
2005-04,0.030,
2005-07,0.026,
2005-10,0.021,
2006-01,0.022,
2006-04,0.021,
2006-07,0.019,
2006-10,0.017,
2007-01,0.015,
2007-04,0.015,
2007-07,0.014,
2007-10,0.013,
2008-01,0.010,
2008-04,0.006,
2008-07,0.004,
2008-10,0.510,
2009-01,0.003,
2009-04,0.004,
2009-07,0.003,
2009-10,0.005,
2010-01,0.004,
2010-04,0.003,
2010-07,0.004,
2010-10,0.004,
2011-01,0.004,
2011-04,0.004,
2011-07,0.004,
2011-10,0.003,
2012-01,0.002,
2012-04,0.005,
2012-07,0.003,
2012-10,0.002,
2013-01,0.003,
2013-04,0.004,
2013-07,0.004,
2013-10,0.006,
2014-01,0.005,
2014-04,0.004,
2014-07,0.007,
