"",BBFN1.M.DE.N.1.A.U3.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U3.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign banks arising from financial operations / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:39,
1995-01,.,No value available
1995-02,.,No value available
1995-03,.,No value available
1995-04,.,No value available
1995-05,.,No value available
1995-06,.,No value available
1995-07,.,No value available
1995-08,.,No value available
1995-09,.,No value available
1995-10,.,No value available
1995-11,.,No value available
1995-12,.,No value available
1996-01,.,No value available
1996-02,0.226,
1996-03,0.197,
1996-04,0.214,
1996-05,0.211,
1996-06,0.207,
1996-07,0.229,
1996-08,0.224,
1996-09,0.203,
1996-10,0.188,
1996-11,0.690,
1996-12,0.677,
1997-01,0.708,
1997-02,0.708,
1997-03,0.702,
1997-04,.,No value available
1997-05,0.692,
1997-06,0.646,
1997-07,0.663,
1997-08,0.663,
1997-09,0.675,
1997-10,0.726,
1997-11,0.770,
1997-12,0.674,
1998-01,0.775,
1998-02,0.778,
1998-03,0.778,
1998-04,0.778,
1998-05,0.659,
1998-06,0.659,
1998-07,0.773,
1998-08,0.706,
1998-09,0.707,
1998-10,0.715,
1998-11,0.259,
1998-12,0.388,
1999-01,0.426,
1999-02,0.432,
1999-03,0.422,
1999-04,0.435,
1999-05,0.465,
1999-06,0.997,
1999-07,0.992,
1999-08,0.994,
1999-09,0.973,
1999-10,0.999,
1999-11,0.966,
1999-12,0.948,
2000-01,0.956,
2000-02,0.971,
2000-03,1.059,
2000-04,1.052,
2000-05,1.042,
2000-06,1.042,
2000-07,1.007,
2000-08,1.048,
2000-09,1.032,
2000-10,1.016,
2000-11,1.046,
2000-12,0.510,
2001-01,0.571,
2001-02,0.577,
2001-03,0.577,
2001-04,0.577,
2001-05,0.586,
2001-06,0.598,
2001-07,0.577,
2001-08,0.567,
2001-09,0.583,
2001-10,0.586,
2001-11,0.586,
2001-12,0.606,
2002-01,0.606,
2002-02,0.607,
2002-03,0.609,
2002-04,0.609,
2002-05,0.611,
2002-06,0.611,
2002-07,0.612,
2002-08,0.617,
2002-09,0.625,
2002-10,0.601,
2002-11,0.607,
2002-12,0.623,
2003-01,0.636,
2003-02,0.652,
2003-03,0.562,
2003-04,0.546,
2003-05,0.567,
2003-06,0.610,
2003-07,0.610,
2003-08,0.652,
2003-09,0.622,
2003-10,0.625,
2003-11,0.635,
2003-12,0.680,
2004-01,0.730,
2004-02,0.727,
2004-03,0.750,
2004-04,0.723,
2004-05,0.745,
2004-06,0.776,
2004-07,0.777,
2004-08,0.932,
2004-09,1.049,
2004-10,1.046,
2004-11,1.139,
2004-12,1.117,
2005-01,1.158,
2005-02,1.358,
2005-03,1.386,
2005-04,1.405,
2005-05,1.435,
2005-06,1.595,
2005-07,1.459,
2005-08,1.255,
2005-09,1.289,
2005-10,1.315,
2005-11,1.307,
2005-12,1.455,
2006-01,1.476,
2006-02,1.583,
2006-03,1.617,
2006-04,1.801,
2006-05,2.121,
2006-06,1.908,
2006-07,1.966,
2006-08,1.972,
2006-09,1.998,
2006-10,1.996,
2006-11,2.016,
2006-12,2.040,
2007-01,2.125,
2007-02,2.611,
2007-03,2.713,
2007-04,2.850,
2007-05,3.274,
2007-06,3.285,
2007-07,3.121,
2007-08,3.237,
2007-09,3.108,
2007-10,3.640,
2007-11,3.938,
2007-12,4.139,
2008-01,4.153,
2008-02,4.324,
2008-03,4.218,
2008-04,4.500,
2008-05,4.924,
2008-06,4.722,
2008-07,4.900,
2008-08,4.759,
2008-09,4.755,
2008-10,4.636,
2008-11,4.723,
2008-12,4.724,
2009-01,4.420,
2009-02,4.525,
2009-03,4.956,
2009-04,4.758,
2009-05,4.959,
2009-06,5.003,
2009-07,5.435,
2009-08,5.517,
2009-09,5.811,
2009-10,7.172,
2009-11,7.430,
2009-12,7.589,
2010-01,7.846,
2010-02,8.210,
2010-03,8.310,
2010-04,8.574,
2010-05,8.588,
2010-06,9.324,
2010-07,9.375,
2010-08,9.504,
2010-09,9.709,
2010-10,9.717,
2010-11,9.988,
2010-12,10.304,
2011-01,10.445,
2011-02,10.414,
2011-03,10.787,
2011-04,10.516,
2011-05,11.391,
2011-06,11.296,
2011-07,11.389,
2011-08,11.562,
2011-09,11.553,
2011-10,12.377,
2011-11,12.346,
2011-12,12.681,
2012-01,12.856,
2012-02,13.253,
2012-03,13.636,
2012-04,14.139,
2012-05,14.149,
2012-06,14.576,
2012-07,14.880,
2012-08,14.782,
2012-09,14.895,
2012-10,14.868,
2012-11,14.776,
2012-12,14.948,
2013-01,15.043,
2013-02,15.335,
2013-03,15.934,
2013-04,15.933,
2013-05,15.809,
2013-06,16.048,
2013-07,16.652,
2013-08,16.867,
2013-09,16.975,
2013-10,17.007,
2013-11,16.998,
2013-12,17.366,
2014-01,17.276,
2014-02,17.397,
2014-03,17.612,
2014-04,17.874,
2014-05,18.992,
2014-06,19.052,
2014-07,18.706,
2014-08,18.589,
2014-09,18.595,
2014-10,18.566,
2014-11,18.345,
2014-12,18.171,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and Malta; up to December 2008, including Slovakia; up to December 2010, including Estonia.",
