"",BBEX3.M.MYR.USD.CA.AC.A01,BBEX3.M.MYR.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Malaysia  / USD 1 = MYR ... (middle),
unit,MYR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:35,
1990-01,2.69975,
1990-02,2.70275,
1990-03,2.72725,
1990-04,2.71550,
1990-05,2.70200,
1990-06,2.71075,
1990-07,2.70075,
1990-08,2.68925,
1990-09,2.70050,
1990-10,2.70075,
1990-11,2.70175,
1990-12,2.70100,
1991-01,2.69925,
1991-02,2.71400,
1991-03,2.76625,
1991-04,2.75775,
1991-05,2.75775,
1991-06,2.78175,
1991-07,2.78925,
1991-08,2.78575,
1991-09,2.74075,
1991-10,2.74725,
1991-11,2.75125,
1991-12,2.72475,
1992-01,2.62875,
1992-02,2.58925,
1992-03,2.58725,
1992-04,2.52550,
1992-05,2.51650,
1992-06,2.50775,
1992-07,2.50100,
1992-08,2.49025,
1992-09,2.50275,
1992-10,2.50950,
1992-11,2.53225,
1992-12,2.60850,
1993-01,2.62775,
1993-02,2.63275,
1993-03,2.58925,
1993-04,2.57125,
1993-05,2.55575,
1993-06,2.57925,
1993-07,2.56575,
1993-08,2.54925,
1993-09,2.55025,
1993-10,2.55825,
1993-11,2.55550,
1993-12,2.71600,
1994-01,2.76400,
1994-02,2.71775,
1994-03,2.68025,
1994-04,2.69125,
1994-05,2.57550,
1994-06,2.60625,
1994-07,2.59275,
1994-08,2.55350,
1994-09,2.56125,
1994-10,2.55225,
1994-11,2.55775,
1994-12,2.56025,
1995-01,2.55775,
1995-02,2.55225,
1995-03,2.53775,
1995-04,2.47125,
1995-05,2.46450,
1995-06,2.43625,
1995-07,2.45875,
1995-08,2.49675,
1995-09,2.50975,
1995-10,2.54425,
1995-11,2.54275,
1995-12,2.53850,
1996-01,2.56325,
1996-02,2.55200,
1996-03,2.53675,
1996-04,2.49350,
1996-05,2.49925,
1996-06,2.49500,
1996-07,2.49450,
1996-08,2.49450,
1996-09,2.50800,
1996-10,2.52950,
1996-11,2.52650,
1996-12,2.52820,
1997-01,2.48400,
1997-02,2.48200,
1997-03,2.48050,
1997-04,2.51050,
1997-05,2.51100,
1997-06,2.52550,
1997-07,2.63150,
1997-08,2.92475,
1997-09,3.21000,
1997-10,3.43000,
1997-11,3.50100,
1997-12,3.88500,
1998-01,4.47750,
1998-02,3.70250,
1998-03,3.60250,
1998-04,3.73000,
1998-05,3.83500,
1998-06,4.18500,
1998-07,4.12900,
1998-08,4.19550,
1998-09,3.80000,
1998-10,3.80000,
1998-11,3.80000,
1998-12,3.80000,
1999-01,3.80000,
1999-02,3.80000,
1999-03,3.80000,
1999-04,3.80000,
1999-05,3.80000,
1999-06,3.80000,
1999-07,3.80000,
1999-08,3.80000,
1999-09,3.80000,
1999-10,3.80000,
1999-11,3.80000,
1999-12,3.80000,
2000-01,3.80000,
2000-02,3.80000,
2000-03,3.80000,
2000-04,3.80000,
2000-05,3.80000,
2000-06,3.80000,
2000-07,3.80000,
2000-08,3.80000,
2000-09,3.80000,
2000-10,3.80000,
2000-11,3.80000,
2000-12,3.80000,
2001-01,3.80000,
2001-02,3.80000,
2001-03,3.80000,
2001-04,3.80000,
2001-05,3.80000,
2001-06,3.80000,
2001-07,3.80000,
2001-08,3.80000,
2001-09,3.80000,
2001-10,3.80000,
2001-11,3.80000,
2001-12,3.80000,
2002-01,3.80000,
2002-02,3.80000,
2002-03,3.80000,
2002-04,3.80000,
2002-05,3.80000,
2002-06,3.80000,
2002-07,3.80000,
2002-08,3.80000,
2002-09,3.80000,
2002-10,3.80000,
2002-11,3.80000,
2002-12,3.80000,
2003-01,3.80000,
2003-02,3.80000,
2003-03,3.80000,
2003-04,3.80000,
2003-05,3.80000,
2003-06,3.80000,
2003-07,3.80000,
2003-08,3.80000,
2003-09,3.80000,
2003-10,3.80000,
2003-11,3.80000,
2003-12,3.80000,
2004-01,3.80000,
2004-02,3.80000,
2004-03,3.80000,
2004-04,3.80000,
2004-05,3.80000,
2004-06,3.80000,
2004-07,3.80000,
2004-08,3.80000,
2004-09,3.80000,
2004-10,3.80000,
2004-11,3.80000,
2004-12,3.80000,
2005-01,3.80000,
2005-02,3.80000,
2005-03,3.80000,
2005-04,3.80000,
2005-05,3.80000,
2005-06,3.80000,
2005-07,3.75000,
2005-08,3.76525,
2005-09,3.76920,
2005-10,3.77200,
2005-11,3.77800,
