"",BBK01.OEAE26O,BBK01.OEAE26O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:58,
2002-01,0.304,
2002-04,0.310,
2002-07,0.298,
2002-10,0.346,
2003-01,0.309,
2003-04,0.327,
2003-07,0.332,
2003-10,0.336,
2004-01,0.339,
2004-04,0.348,
2004-07,0.359,
2004-10,0.394,
2005-01,0.379,
2005-04,0.432,
2005-07,0.432,
2005-10,0.456,
2006-01,0.555,
2006-04,0.517,
2006-07,0.476,
2006-10,0.455,
2007-01,0.403,
2007-04,0.418,
2007-07,0.354,
2007-10,0.333,
2008-01,0.384,
2008-04,0.339,
2008-07,0.307,
2008-10,0.295,
2009-01,0.259,
2009-04,0.201,
2009-07,0.143,
2009-10,0.117,
2010-01,0.100,
2010-04,0.127,
2010-07,0.108,
2010-10,0.086,
2011-01,0.070,
2011-04,0.077,
2011-07,0.079,
2011-10,0.081,
2012-01,0.078,
2012-04,0.083,
2012-07,0.087,
2012-10,0.091,
2013-01,0.095,
2013-04,0.095,
2013-07,0.089,
2013-10,0.093,
2014-01,0.084,
2014-04,0.081,
2014-07,0.087,
