"",BBK01.OECB03K,BBK01.OECB03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:17,
2002-01,0.968,
2002-04,1.057,
2002-07,1.067,
2002-10,0.844,
2003-01,0.911,
2003-04,0.948,
2003-07,0.977,
2003-10,1.084,
2004-01,1.891,
2004-04,1.507,
2004-07,1.764,
2004-10,3.016,
2005-01,2.255,
2005-04,2.361,
2005-07,2.385,
2005-10,2.302,
2006-01,2.287,
2006-04,2.146,
2006-07,2.188,
2006-10,2.326,
2007-01,2.176,
2007-04,2.177,
2007-07,2.407,
2007-10,2.348,
2008-01,2.470,
2008-04,2.703,
2008-07,2.864,
2008-10,2.720,
2009-01,2.505,
2009-04,2.614,
2009-07,2.442,
2009-10,2.420,
2010-01,2.377,
2010-04,2.683,
2010-07,2.583,
2010-10,2.380,
2011-01,2.349,
2011-04,2.349,
2011-07,2.954,
2011-10,2.889,
2012-01,2.719,
2012-04,2.911,
2012-07,2.906,
2012-10,3.137,
2013-01,3.222,
2013-04,3.377,
2013-07,2.668,
2013-10,2.760,
2014-01,2.914,
2014-04,3.328,
2014-07,3.210,
