"",BBK01.BQM307,BBK01.BQM307_FLAGS
"",Local government debt - of which loans,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:39,
2000-01,110045,
2000-04,110497,
2000-07,110665,
2000-10,106017,
2001-01,106342,
2001-04,107036,
2001-07,106557,
2001-10,106835,
2002-01,107412,
2002-04,108038,
2002-07,108345,
2002-10,108492,
2003-01,109482,
2003-04,112454,
2003-07,113805,
2003-10,115766,
2004-01,117207,
2004-04,118082,
2004-07,118781,
2004-10,120440,
2005-01,121053,
2005-04,122645,
2005-07,122838,
2005-10,124344,
2006-01,126037,
2006-04,127228,
2006-07,126421,
2006-10,127124,
2007-01,126321,
2007-04,126392,
2007-07,124951,
2007-10,125272,
2008-01,123659,
2008-04,124396,
2008-07,123587,
2008-10,125376,
2009-01,126496,
2009-04,127793,
2009-07,129001,
2009-10,131823,
2010-01,133076,Provisional value
2010-04,135535,Provisional value
2010-07,137493,Provisional value
2010-10,137041,Provisional value
2011-01,139613,Provisional value
2011-04,140725,Provisional value
2011-07,140961,Provisional value
2011-10,141387,Provisional value
2012-01,144704,Provisional value
2012-04,144032,Provisional value
2012-07,143433,Provisional value
2012-10,145201,Provisional value
2013-01,146616,Provisional value
2013-04,146200,Provisional value
2013-07,146871,Provisional value
2013-10,147535,Provisional value
2014-01,146497,Provisional value
2014-04,147293,Provisional value
2014-07,147611,Provisional value
