"",BBFN1.M.DE.N.1.L.SY.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SY.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Syria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:29,
1994-07,0.101,
1994-08,0.080,
1994-09,0.083,
1994-10,0.075,
1994-11,0.079,
1994-12,0.089,
1995-01,0.088,
1995-02,0.074,
1995-03,0.060,
1995-04,0.072,
1995-05,0.071,
1995-06,0.057,
1995-07,0.055,
1995-08,0.067,
1995-09,0.048,
1995-10,0.058,
1995-11,0.043,
1995-12,0.057,
1996-01,0.036,
1996-02,0.037,
1996-03,0.032,
1996-04,0.039,
1996-05,0.065,
1996-06,0.041,
1996-07,0.050,
1996-08,0.047,
1996-09,0.039,
1996-10,0.052,
1996-11,0.049,
1996-12,0.026,
1997-01,0.059,
1997-02,0.049,
1997-03,0.034,
1997-04,0.033,
1997-05,0.019,
1997-06,0.041,
1997-07,0.038,
1997-08,0.022,
1997-09,0.035,
1997-10,0.052,
1997-11,0.042,
1997-12,0.033,
1998-01,0.029,
1998-02,0.045,
1998-03,0.026,
1998-04,0.026,
1998-05,0.032,
1998-06,0.037,
1998-07,0.029,
1998-08,0.027,
1998-09,0.027,
1998-10,0.030,
1998-11,0.029,
1998-12,0.034,
1999-01,0.038,
1999-02,0.036,
1999-03,0.036,
1999-04,0.040,
1999-05,0.042,
1999-06,0.049,
1999-07,0.049,
1999-08,0.052,
1999-09,0.072,
1999-10,0.078,
1999-11,0.046,
1999-12,0.076,
2000-01,0.066,
2000-02,0.072,
2000-03,0.077,
2000-04,0.079,
2000-05,0.085,
2000-06,0.074,
2000-07,0.092,
2000-08,0.057,
2000-09,0.059,
2000-10,0.069,
2000-11,0.058,
2000-12,0.086,
2001-01,0.075,
2001-02,0.066,
2001-03,0.066,
2001-04,0.068,
2001-05,0.086,
2001-06,0.123,
2001-07,0.100,
2001-08,0.121,
2001-09,0.111,
2001-10,0.136,
2001-11,0.118,
2001-12,0.140,
2002-01,0.112,
2002-02,0.116,
2002-03,0.120,
2002-04,0.150,
2002-05,0.133,
2002-06,0.144,
2002-07,0.113,
2002-08,0.070,
2002-09,0.067,
2002-10,0.100,
2002-11,0.074,
2002-12,0.110,
2003-01,0.103,
2003-02,0.061,
2003-03,0.046,
2003-04,0.059,
2003-05,0.056,
2003-06,0.053,
2003-07,0.057,
2003-08,0.069,
2003-09,0.037,
2003-10,0.050,
2003-11,0.048,
2003-12,0.037,
2004-01,0.037,
2004-02,0.051,
2004-03,0.066,
2004-04,0.064,
2004-05,0.034,
2004-06,0.052,
2004-07,0.055,
2004-08,0.049,
2004-09,0.030,
2004-10,0.051,
2004-11,0.052,
2004-12,0.052,
2005-01,0.078,
2005-02,0.071,
2005-03,0.071,
2005-04,0.081,
2005-05,0.061,
2005-06,0.056,
2005-07,0.049,
2005-08,0.049,
2005-09,0.045,
2005-10,0.049,
2005-11,0.088,
2005-12,0.081,
2006-01,0.078,
2006-02,0.070,
2006-03,0.099,
2006-04,0.077,
2006-05,0.109,
2006-06,0.117,
2006-07,0.082,
2006-08,0.084,
2006-09,0.079,
2006-10,0.083,
2006-11,0.082,
2006-12,0.084,
2007-01,0.081,
2007-02,0.088,
2007-03,0.117,
2007-04,0.131,
2007-05,0.170,
2007-06,0.181,
2007-07,0.222,
2007-08,0.217,
2007-09,0.194,
2007-10,0.230,
2007-11,0.214,
2007-12,0.218,
2008-01,0.228,
2008-02,0.238,
2008-03,0.249,
2008-04,0.279,
2008-05,0.299,
2008-06,0.119,
2008-07,0.116,
2008-08,0.129,
2008-09,0.294,
2008-10,0.258,
2008-11,0.215,
2008-12,0.181,
2009-01,0.186,
2009-02,0.188,
2009-03,0.194,
2009-04,0.197,
2009-05,0.200,
2009-06,0.236,
2009-07,0.215,
2009-08,0.244,
2009-09,0.216,
2009-10,0.215,
2009-11,0.297,
2009-12,0.221,
2010-01,0.221,
2010-02,0.098,
2010-03,0.098,
2010-04,0.099,
2010-05,0.103,
2010-06,0.108,
2010-07,0.107,
2010-08,0.107,
2010-09,0.056,
2010-10,0.094,
2010-11,0.060,
2010-12,0.059,
2011-01,0.060,
2011-02,0.057,
2011-03,0.056,
2011-04,0.059,
2011-05,0.058,
2011-06,0.059,
2011-07,0.059,
2011-08,0.062,
2011-09,0.067,
2011-10,0.065,
2011-11,0.068,
2011-12,0.063,
2012-01,0.058,
2012-02,0.061,
2012-03,0.045,
2012-04,0.042,
2012-05,0.042,
2012-06,0.042,
2012-07,0.042,
2012-08,0.040,
2012-09,0.042,
2012-10,0.041,
2012-11,0.040,
2012-12,0.042,
2013-01,0.051,
2013-02,0.050,
2013-03,0.059,
2013-04,0.034,
2013-05,0.053,
2013-06,0.054,
2013-07,0.043,
2013-08,0.052,
2013-09,0.054,
2013-10,0.041,
2013-11,0.048,
2013-12,0.048,
2014-01,0.048,
2014-02,0.045,
2014-03,0.045,
2014-04,0.033,
2014-05,0.043,
2014-06,0.042,
2014-07,0.033,
2014-08,0.042,
2014-09,0.043,
2014-10,0.033,
2014-11,0.033,
2014-12,0.032,
