"",BBK01.OEBJ05R,BBK01.OEBJ05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:34,
2002-01,0.024,
2002-04,0.024,
2002-07,0.022,
2002-10,0.021,
2003-01,0.021,
2003-04,0.020,
2003-07,0.017,
2003-10,0.015,
2004-01,0.017,
2004-04,0.016,
2004-07,0.018,
2004-10,0.018,
2005-01,0.011,
2005-04,0.011,
2005-07,0.006,
2005-10,0.006,
2006-01,0.006,
2006-04,0.004,
2006-07,0.004,
2006-10,0.004,
2007-01,0.004,
2007-04,0.004,
2007-07,-,Nothing exists
2007-10,-,Nothing exists
2008-01,-,Nothing exists
2008-04,-,Nothing exists
2008-07,-,Nothing exists
2008-10,-,Nothing exists
2009-01,0.009,
2009-04,0.013,
2009-07,0.016,
2009-10,0.018,
2010-01,0.018,
2010-04,0.017,
2010-07,0.017,
2010-10,0.020,
2011-01,0.024,
2011-04,0.021,
2011-07,0.032,
2011-10,0.032,
2012-01,0.047,
2012-04,0.061,
2012-07,0.060,
2012-10,0.065,
2013-01,0.064,
2013-04,0.069,
2013-07,0.070,
2013-10,0.147,
2014-01,0.075,
2014-04,0.144,
2014-07,0.150,
