"",BBEX3.M.RSD.USD.CA.AB.A01,BBEX3.M.RSD.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Serbia  / USD 1 = RSD ... (selling),
unit,RSD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:27,
2006-10,63.0236,
2006-11,59.8983,
2006-12,60.1556,
2007-01,61.1302,
2007-02,60.6975,
2007-03,61.2921,
2007-04,59.3647,
2007-05,60.6250,
2007-06,58.9575,
2007-07,58.1855,
2007-08,58.6601,
2007-09,55.8438,
2007-10,53.6471,
2007-11,57.6171,
2007-12,53.8879,
2008-01,55.7479,
2008-02,55.1330,
2008-03,52.2839,
2008-04,51.6151,
2008-05,53.2476,
2008-06,50.1617,
2008-07,49.5444,
2008-08,51.9504,
2008-09,53.4374,
2008-10,66.5360,
2008-11,69.2277,
2008-12,63.0887,
2009-01,73.0862,
2009-02,73.9012,
2009-03,71.8046,
2009-04,71.8559,
2009-05,67.9394,
2009-06,66.4458,
2009-07,66.1239,
2009-08,65.3411,
2009-09,63.7883,
2009-10,63.1843,
2009-11,63.1175,
2009-12,66.9287,
2010-01,70.8547,
2010-02,73.5177,
2010-03,74.6045,
2010-04,75.1896,
2010-05,83.6691,
2010-06,85.7358,
2010-07,81.4808,
2010-08,83.2492,
2010-09,78.3442,
2010-10,77.5677,
2010-11,82.0045,
2010-12,79.5180,
2011-01,77.0442,
2011-02,75.2204,
2011-03,73.4421,
2011-04,67.3415,
2011-05,67.6199,
2011-06,70.8517,
2011-07,71.4655,
2011-08,70.6136,
2011-09,74.9016,
2011-10,72.0111,
2011-11,78.2576,
2011-12,81.1088,
2012-01,80.6338,
2012-02,82.0286,
2012-03,83.5628,
2012-04,84.6920,
2012-05,94.3850,
2012-06,92.4240,
2012-07,96.0890,
2012-08,95.0228,
2012-09,89.2045,
2012-10,87.6860,
2012-11,86.9111,
2012-12,86.4348,
2013-01,82.4090,
2013-02,85.0993,
2013-03,87.6881,
2013-04,84.6433,
2013-05,85.8671,
2013-06,87.6763,
2013-07,86.0871,
2013-08,86.6572,
2013-09,85.1406,
2013-10,83.4490,
2013-11,83.9841,
2013-12,83.3776,
2014-01,85.8281,
2014-02,84.8722,
2014-03,84.1372,
2014-04,84.0313,
2014-05,85.2620,
2014-06,85.1038,
2014-07,87.4340,
2014-08,89.6857,
2014-09,93.9011,
2014-10,95.0474,
2014-11,97.1230,
2014-12,99.7625,
2015-01,109.2388,
"","General: * Independent since 3 June 2006; formerly ""Serbia and Montenegro"". The euro has been the sole legal tender in Montenegro since 1 April 2002. On 25 October 2006, the ISO code was changed from CSD to RSD.",
"","Source: National Bank of Serbia, Belgrade",
