"",BBK01.OEBO04U,BBK01.OEBO04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:58,
2002-01,-0.021,
2002-04,-0.182,
2002-07,-0.005,
2002-10,0.046,
2003-01,-0.015,
2003-04,-0.049,
2003-07,0.003,
2003-10,-0.012,
2004-01,-0.030,
2004-04,-0.040,
2004-07,0.021,
2004-10,0.021,
2005-01,0.010,
2005-04,-0.036,
2005-07,-0.044,
2005-10,-0.035,
2006-01,-0.007,
2006-04,-0.036,
2006-07,-0.046,
2006-10,-0.025,
2007-01,0.093,
2007-04,0.003,
2007-07,-0.007,
2007-10,0.067,
2008-01,0.034,
2008-04,0.042,
2008-07,-0.022,
2008-10,0.127,
2009-01,-0.004,
2009-04,-0.045,
2009-07,0.041,
2009-10,-0.032,
2010-01,-0.057,
2010-04,-0.019,
2010-07,-,Nothing exists
2010-10,0.067,
2011-01,0.030,
2011-04,-0.020,
2011-07,-0.037,
2011-10,-0.021,
2012-01,0.075,
2012-04,-0.023,
2012-07,0.017,
2012-10,-0.021,
2013-01,-0.069,
2013-04,-0.057,
2013-07,-0.021,
2013-10,-0.002,
2014-01,-0.020,
2014-04,-0.049,
2014-07,0.079,
