"",BBSF2.M.1.S.00000.REN01.I.F.SSD.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.I.F.SSD.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Borrowers' note loans,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:45,
2009-09,326,
2009-10,307,
2009-11,338,
2009-12,372,
2010-01,375,
2010-02,378,
2010-03,380,
2010-04,341,
2010-05,335,
2010-06,344,
2010-07,346,
2010-08,354,
2010-09,352,
2010-10,350,
2010-11,314,
2010-12,226,
2011-01,180,
2011-02,170,
2011-03,170,
2011-04,170,
2011-05,173,
2011-06,168,
2011-07,167,
2011-08,162,
2011-09,166,
2011-10,167,
2011-11,166,
2011-12,154,
2012-01,163,
2012-02,156,
2012-03,166,
2012-04,204,
2012-05,223,
2012-06,226,
2012-07,228,
2012-08,229,
2012-09,228,
2012-10,227,
2012-11,225,
2012-12,408,
2013-01,405,
2013-02,422,
2013-03,426,
2013-04,442,
2013-05,440,
2013-06,411,
2013-07,454,
2013-08,456,
2013-09,442,
2013-10,548,
2013-11,542,
2013-12,551,
2014-01,560,
2014-02,569,
2014-03,583,
2014-04,582,
2014-05,592,
2014-06,601,
2014-07,639,
2014-08,1150,
2014-09,1144,
2014-10,1114,
2014-11,1141,
