"",BBK01.OXA8Y6,BBK01.OXA8Y6_FLAGS
"",Transferable deposits of non-banks (non-MFIs) Overnight deposits - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:15,
2010-06,631.933,
2010-07,621.465,
2010-08,630.066,
2010-09,627.729,
2010-10,629.717,
2010-11,654.760,
2010-12,659.950,
2011-01,642.729,
2011-02,632.528,
2011-03,630.136,
2011-04,619.232,
2011-05,619.651,
2011-06,618.367,
2011-07,613.910,
2011-08,612.457,
2011-09,614.814,
2011-10,621.365,
2011-11,636.648,
2011-12,641.866,
2012-01,633.510,
2012-02,638.262,
2012-03,639.262,
2012-04,651.306,
2012-05,660.102,
2012-06,672.051,
2012-07,684.249,
2012-08,690.933,
2012-09,700.807,
2012-10,710.989,
2012-11,733.545,
2012-12,743.120,
2013-01,724.849,
2013-02,734.293,
2013-03,732.269,
2013-04,739.804,
2013-05,749.543,
2013-06,755.613,
2013-07,757.274,
2013-08,766.280,
2013-09,775.900,
2013-10,781.197,
2013-11,804.904,
2013-12,808.718,
2014-01,793.721,
2014-02,798.585,
2014-03,791.705,
2014-04,800.871,
2014-05,812.012,
2014-06,819.072,
2014-07,825.055,
2014-08,839.044,
2014-09,852.471,
2014-10,868.813,
2014-11,890.366,
2014-12,900.854,Provisional value
