"",BBFN1.M.DE.N.1.L.AT.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AT.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Austria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:15,
1994-07,1.363,
1994-08,1.543,
1994-09,1.814,
1994-10,1.911,
1994-11,1.973,
1994-12,2.067,
1995-01,1.878,
1995-02,1.860,
1995-03,1.903,
1995-04,1.904,
1995-05,2.025,
1995-06,2.011,
1995-07,1.835,
1995-08,1.678,
1995-09,1.907,
1995-10,1.932,
1995-11,2.060,
1995-12,1.984,
1996-01,1.749,
1996-02,1.714,
1996-03,1.835,
1996-04,1.817,
1996-05,1.769,
1996-06,1.728,
1996-07,1.759,
1996-08,1.551,
1996-09,1.752,
1996-10,1.756,
1996-11,1.751,
1996-12,1.735,
1997-01,1.709,
1997-02,1.683,
1997-03,1.608,
1997-04,1.658,
1997-05,1.588,
1997-06,1.609,
1997-07,1.629,
1997-08,1.417,
1997-09,1.617,
1997-10,1.681,
1997-11,1.672,
1997-12,1.736,
1998-01,1.601,
1998-02,1.717,
1998-03,1.782,
1998-04,1.768,
1998-05,1.694,
1998-06,1.800,
1998-07,1.734,
1998-08,1.530,
1998-09,1.815,
1998-10,1.828,
1998-11,1.762,
1998-12,1.800,
1999-01,1.690,
1999-02,1.753,
1999-03,1.939,
1999-04,1.794,
1999-05,1.813,
1999-06,1.984,
1999-07,1.854,
1999-08,1.732,
1999-09,1.999,
1999-10,1.887,
1999-11,1.971,
1999-12,1.918,
2000-01,1.824,
2000-02,1.962,
2000-03,2.188,
2000-04,2.105,
2000-05,2.054,
2000-06,2.229,
2000-07,2.276,
2000-08,2.017,
2000-09,2.226,
2000-10,2.216,
2000-11,2.319,
2000-12,2.421,
2001-01,2.310,
2001-02,2.433,
2001-03,2.676,
2001-04,2.371,
2001-05,2.383,
2001-06,2.503,
2001-07,2.427,
2001-08,2.222,
2001-09,2.456,
2001-10,2.648,
2001-11,2.544,
2001-12,2.497,
2002-01,2.286,
2002-02,2.282,
2002-03,2.252,
2002-04,2.235,
2002-05,2.189,
2002-06,2.357,
2002-07,2.252,
2002-08,1.983,
2002-09,2.298,
2002-10,2.408,
2002-11,2.411,
2002-12,2.414,
2003-01,2.311,
2003-02,2.269,
2003-03,2.407,
2003-04,2.341,
2003-05,2.293,
2003-06,2.327,
2003-07,2.196,
2003-08,2.018,
2003-09,2.298,
2003-10,2.419,
2003-11,2.542,
2003-12,2.441,
2004-01,2.195,
2004-02,2.258,
2004-03,2.468,
2004-04,2.257,
2004-05,2.415,
2004-06,2.439,
2004-07,2.517,
2004-08,2.370,
2004-09,2.616,
2004-10,2.658,
2004-11,2.687,
2004-12,2.796,
2005-01,2.396,
2005-02,2.453,
2005-03,2.578,
2005-04,2.637,
2005-05,2.514,
2005-06,2.784,
2005-07,2.716,
2005-08,2.447,
2005-09,2.777,
2005-10,2.937,
2005-11,2.828,
2005-12,2.852,
2006-01,2.630,
2006-02,2.701,
2006-03,2.947,
2006-04,3.043,
2006-05,2.950,
2006-06,3.034,
2006-07,3.010,
2006-08,2.731,
2006-09,2.942,
2006-10,3.223,
2006-11,3.135,
2006-12,3.209,
2007-01,3.054,
2007-02,3.143,
2007-03,3.328,
2007-04,3.404,
2007-05,3.295,
2007-06,3.301,
2007-07,3.418,
2007-08,3.118,
2007-09,3.346,
2007-10,3.462,
2007-11,3.536,
2007-12,3.294,
2008-01,3.359,
2008-02,3.589,
2008-03,3.425,
2008-04,3.965,
2008-05,3.591,
2008-06,3.296,
2008-07,3.661,
2008-08,3.295,
2008-09,3.529,
2008-10,3.313,
2008-11,3.244,
2008-12,3.140,
2009-01,2.711,
2009-02,2.620,
2009-03,2.754,
2009-04,2.716,
2009-05,2.724,
2009-06,2.832,
2009-07,2.854,
2009-08,2.474,
2009-09,2.927,
2009-10,3.050,
2009-11,3.134,
2009-12,2.658,
2010-01,2.583,
2010-02,2.758,
2010-03,2.936,
2010-04,2.992,
2010-05,3.029,
2010-06,3.207,
2010-07,3.090,
2010-08,3.146,
2010-09,3.220,
2010-10,3.426,
2010-11,3.482,
2010-12,3.172,
2011-01,3.165,
2011-02,3.343,
2011-03,3.367,
2011-04,3.304,
2011-05,3.730,
2011-06,3.379,
2011-07,3.506,
2011-08,3.284,
2011-09,3.473,
2011-10,3.451,
2011-11,3.530,
2011-12,3.478,
2012-01,3.223,
2012-02,3.639,
2012-03,3.526,
2012-04,3.573,
2012-05,3.609,
2012-06,3.521,
2012-07,3.728,
2012-08,3.415,
2012-09,3.691,
2012-10,3.845,
2012-11,3.885,
2012-12,3.976,
2013-01,3.741,
2013-02,3.890,
2013-03,3.919,
2013-04,4.088,
2013-05,3.823,
2013-06,3.732,
2013-07,3.957,
2013-08,3.593,
2013-09,4.064,
2013-10,3.939,
2013-11,4.528,
2013-12,3.858,
2014-01,3.785,
2014-02,3.846,
2014-03,3.949,
2014-04,3.871,
2014-05,3.904,
2014-06,4.020,
2014-07,4.096,
2014-08,3.649,
2014-09,4.061,
2014-10,4.056,
2014-11,4.014,
2014-12,3.882,
