"",BBK01.OEAD28L,BBK01.OEAD28L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:01,
2002-01,0.277,
2002-04,0.248,
2002-07,0.256,
2002-10,0.259,
2003-01,0.258,
2003-04,0.259,
2003-07,0.222,
2003-10,0.223,
2004-01,0.208,
2004-04,0.229,
2004-07,0.238,
2004-10,0.204,
2005-01,0.196,
2005-04,0.199,
2005-07,0.216,
2005-10,0.204,
2006-01,0.175,
2006-04,0.165,
2006-07,0.285,
2006-10,0.214,
2007-01,0.200,
2007-04,0.191,
2007-07,0.242,
2007-10,0.279,
2008-01,0.262,
2008-04,0.280,
2008-07,0.306,
2008-10,0.244,
2009-01,0.235,
2009-04,0.300,
2009-07,0.317,
2009-10,0.339,
2010-01,0.276,
2010-04,0.317,
2010-07,0.370,
2010-10,0.362,
2011-01,0.354,
2011-04,0.350,
2011-07,0.391,
2011-10,0.367,
2012-01,0.361,
2012-04,0.390,
2012-07,0.430,
2012-10,0.416,
2013-01,0.439,
2013-04,0.372,
2013-07,0.382,
2013-10,0.389,
2014-01,0.378,
2014-04,0.370,
2014-07,0.327,
