"",BBFB1.Q.N.DE.FI.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:08,
1991-01,-35.050,
1991-04,-46.990,
1991-07,-41.455,
1991-10,-20.042,
1992-01,-43.368,
1992-04,-4.247,
1992-07,-72.372,
1992-10,-59.739,
1993-01,169.742,
1993-04,-170.478,
1993-07,-127.159,
1993-10,-178.299,
1994-01,-116.494,
1994-04,-108.948,
1994-07,-189.733,
1994-10,-145.022,
1995-01,-29.497,
1995-04,-47.683,
1995-07,-13.121,
1995-10,71.088,
1996-01,166.469,
1996-04,148.668,
1996-07,124.187,
1996-10,164.151,
1997-01,239.214,
1997-04,214.775,
1997-07,22.248,
1997-10,68.039,
1998-01,152.653,
1998-04,192.414,
1998-07,156.538,
1998-10,339.140,
1999-01,126.388,
1999-04,249.656,
1999-07,343.574,
1999-10,317.370,
2000-01,302.436,
2000-04,412.194,
2000-07,348.304,
2000-10,-58.730,
2001-01,238.759,
2001-04,-681.948,
2001-07,334.548,
2001-10,218.347,
2002-01,219.014,
2002-04,-27.532,
2002-07,227.498,
2002-10,-71.033,
2003-01,162.313,
2003-04,206.382,
2003-07,199.260,
2003-10,189.303,
2004-01,308.528,
2004-04,493.709,
2004-07,386.713,
2004-10,461.726,
2005-01,559.391,
2005-04,485.632,
2005-07,-127.711,
2005-10,-45.419,
2006-01,219.310,
2006-04,342.243,
2006-07,550.757,
2006-10,284.888,
2007-01,563.028,
2007-04,654.683,
2007-07,614.025,
2007-10,800.289,
2008-01,725.185,
2008-04,634.367,
2008-07,477.140,
2008-10,548.799,
2009-01,567.508,
2009-04,443.987,
2009-07,348.231,
2009-10,352.833,
2010-01,515.590,
2010-04,218.158,
2010-07,412.933,
2010-10,374.834,
2011-01,546.291,
2011-04,488.466,
2011-07,465.337,
2011-10,558.319,
2012-01,596.186,
2012-04,464.206,
2012-07,287.944,
2012-10,564.723,
2013-01,590.099,
2013-04,659.653,
2013-07,585.141,
2013-10,701.157,
2014-01,661.737,Provisional value
2014-04,663.163,Provisional value
2014-07,447.878,Provisional value
