"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.IT.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.IT.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Italy,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:48,
2009-09,2670,
2009-10,2573,
2009-11,2480,
2009-12,2726,
2010-01,2568,
2010-02,2473,
2010-03,2776,
2010-04,2640,
2010-05,2169,
2010-06,2181,
2010-07,2379,
2010-08,2254,
2010-09,2223,
2010-10,2434,
2010-11,2164,
2010-12,2295,
2011-01,2512,
2011-02,2760,
2011-03,2684,
2011-04,2810,
2011-05,2597,
2011-06,2610,
2011-07,2330,
2011-08,1850,
2011-09,1696,
2011-10,1869,
2011-11,1741,
2011-12,1712,
2012-01,2017,
2012-02,2039,
2012-03,1980,
2012-04,1797,
2012-05,1560,
2012-06,1695,
2012-07,1585,
2012-08,1714,
2012-09,1749,
2012-10,1842,
2012-11,1914,
2012-12,2043,
2013-01,2136,
2013-02,1892,
2013-03,1751,
2013-04,1924,
2013-05,1898,
2013-06,1609,
2013-07,1684,
2013-08,1794,
2013-09,1909,
2013-10,2197,
2013-11,2202,
2013-12,2222,
2014-01,2242,
2014-02,2430,
2014-03,2687,
2014-04,2756,
2014-05,2740,
2014-06,2746,
2014-07,2782,
2014-08,2741,
2014-09,2786,
2014-10,2619,
2014-11,2626,
