"",BBK01.OEAD07V,BBK01.OEAD07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:56,
2002-01,0.755,
2002-04,0.823,
2002-07,0.798,
2002-10,0.779,
2003-01,0.806,
2003-04,0.776,
2003-07,0.724,
2003-10,0.716,
2004-01,0.689,
2004-04,0.681,
2004-07,0.686,
2004-10,0.512,
2005-01,0.500,
2005-04,0.505,
2005-07,0.383,
2005-10,0.386,
2006-01,0.377,
2006-04,0.387,
2006-07,0.394,
2006-10,0.628,
2007-01,0.630,
2007-04,0.632,
2007-07,0.598,
2007-10,0.634,
2008-01,0.614,
2008-04,0.595,
2008-07,0.641,
2008-10,0.648,
2009-01,0.607,
2009-04,0.678,
2009-07,0.622,
2009-10,0.649,
2010-01,0.559,
2010-04,0.539,
2010-07,0.518,
2010-10,0.475,
2011-01,0.398,
2011-04,0.422,
2011-07,0.414,
2011-10,0.420,
2012-01,0.425,
2012-04,0.406,
2012-07,0.349,
2012-10,0.352,
2013-01,0.342,
2013-04,0.345,
2013-07,0.364,
2013-10,0.374,
2014-01,0.374,
2014-04,0.381,
2014-07,0.367,
