"",BBK01.OEBL04M,BBK01.OEBL04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:21,
2002-01,2.255,
2002-04,2.133,
2002-07,2.172,
2002-10,2.166,
2003-01,2.032,
2003-04,1.837,
2003-07,1.657,
2003-10,1.597,
2004-01,1.499,
2004-04,1.468,
2004-07,1.401,
2004-10,1.487,
2005-01,1.573,
2005-04,1.521,
2005-07,1.499,
2005-10,1.632,
2006-01,1.610,
2006-04,1.609,
2006-07,1.748,
2006-10,2.052,
2007-01,2.359,
2007-04,2.554,
2007-07,2.706,
2007-10,3.510,
2008-01,4.273,
2008-04,4.646,
2008-07,5.803,
2008-10,6.859,
2009-01,6.046,
2009-04,5.998,
2009-07,4.514,
2009-10,3.123,
2010-01,2.146,
2010-04,1.421,
2010-07,0.990,
2010-10,1.340,
2011-01,0.850,
2011-04,1.103,
2011-07,1.180,
2011-10,1.492,
2012-01,1.606,
2012-04,1.424,
2012-07,1.294,
2012-10,0.934,
2013-01,0.682,
2013-04,0.581,
2013-07,0.513,
2013-10,0.489,
2014-01,0.423,
2014-04,0.553,
2014-07,0.704,
