"",BBK01.OELB09O,BBK01.OELB09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:30,
2002-01,3.134,
2002-04,3.118,
2002-07,3.123,
2002-10,3.077,
2003-01,3.089,
2003-04,3.090,
2003-07,3.081,
2003-10,3.050,
2004-01,3.045,
2004-04,3.077,
2004-07,3.066,
2004-10,3.046,
2005-01,3.069,
2005-04,3.005,
2005-07,2.957,
2005-10,2.866,
2006-01,2.864,
2006-04,2.906,
2006-07,2.904,
2006-10,2.841,
2007-01,2.848,
2007-04,2.947,
2007-07,2.967,
2007-10,2.965,
2008-01,3.029,
2008-04,3.075,
2008-07,3.154,
2008-10,3.204,
2009-01,3.277,
2009-04,3.299,
2009-07,3.337,
2009-10,3.303,
2010-01,3.356,
2010-04,3.391,
2010-07,3.439,
2010-10,3.503,
2011-01,3.567,
2011-04,3.647,
2011-07,3.597,
2011-10,3.561,
2012-01,3.647,
2012-04,3.814,
2012-07,3.984,
2012-10,4.084,
2013-01,4.227,
2013-04,4.315,
2013-07,4.405,
2013-10,4.471,
2014-01,4.719,
2014-04,4.792,
2014-07,4.809,
