"",BBK01.CEF70L,BBK01.CEF70L_FLAGS
"",Other accounts receivable  debtor: Total                    creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:02,
1999-01,3.7,
1999-04,3.8,
1999-07,3.8,
1999-10,3.8,
2000-01,4.1,
2000-04,4.1,
2000-07,4.2,
2000-10,3.9,
2001-01,4.1,
2001-04,4.1,
2001-07,4.3,
2001-10,3.9,
2002-01,4.3,
2002-04,4.3,
2002-07,4.3,
2002-10,5.5,
2003-01,5.5,
2003-04,5.5,
2003-07,5.5,
2003-10,6.6,
2004-01,6.8,
2004-04,6.6,
2004-07,6.6,
2004-10,6.7,
2005-01,7.2,
2005-04,7.3,
2005-07,7.6,
2005-10,6.7,
2006-01,6.8,
2006-04,7.2,
2006-07,7.1,
2006-10,6.7,
2007-01,6.9,
2007-04,7.1,
2007-07,6.9,
2007-10,6.6,
2008-01,7.1,
2008-04,7.6,
2008-07,7.9,
2008-10,8.2,
2009-01,8.3,
2009-04,8.5,
2009-07,8.2,
2009-10,8.0,
2010-01,8.2,
2010-04,8.3,
2010-07,8.3,
2010-10,8.3,
2011-01,8.6,
2011-04,8.7,
2011-07,8.8,
2011-10,9.1,
2012-01,9.5,
2012-04,9.6,
2012-07,9.7,
2012-10,9.7,
2013-01,9.7,
2013-04,9.8,
2013-07,9.8,
2013-10,9.5,
2014-01,9.6,
2014-04,9.6,
2014-07,10.0,
