"",BBK01.OELB17S,BBK01.OELB17S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:25,
2002-01,0.955,
2002-04,0.970,
2002-07,0.984,
2002-10,1.070,
2003-01,1.080,
2003-04,1.089,
2003-07,1.113,
2003-10,1.135,
2004-01,1.113,
2004-04,1.115,
2004-07,1.089,
2004-10,1.076,
2005-01,1.048,
2005-04,1.041,
2005-07,1.040,
2005-10,1.025,
2006-01,1.011,
2006-04,1.005,
2006-07,1.001,
2006-10,0.995,
2007-01,0.983,
2007-04,0.961,
2007-07,0.956,
2007-10,0.934,
2008-01,0.910,
2008-04,0.910,
2008-07,0.910,
2008-10,0.907,
2009-01,0.896,
2009-04,0.901,
2009-07,0.944,
2009-10,0.895,
2010-01,0.896,
2010-04,0.903,
2010-07,0.915,
2010-10,0.930,
2011-01,0.928,
2011-04,0.933,
2011-07,0.953,
2011-10,0.963,
2012-01,0.971,
2012-04,1.026,
2012-07,1.041,
2012-10,1.053,
2013-01,1.063,
2013-04,1.078,
2013-07,1.104,
2013-10,1.111,
2014-01,1.118,
2014-04,1.132,
2014-07,1.151,
