"",BBK01.OECO03U,BBK01.OECO03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:00,
2002-01,0.161,
2002-04,0.281,
2002-07,0.103,
2002-10,0.121,
2003-01,0.132,
2003-04,0.137,
2003-07,0.120,
2003-10,0.138,
2004-01,0.156,
2004-04,0.143,
2004-07,0.119,
2004-10,0.116,
2005-01,0.274,
2005-04,0.220,
2005-07,0.195,
2005-10,0.212,
2006-01,0.228,
2006-04,0.214,
2006-07,0.203,
2006-10,0.241,
2007-01,0.277,
2007-04,0.205,
2007-07,0.193,
2007-10,0.205,
2008-01,0.224,
2008-04,0.211,
2008-07,0.183,
2008-10,0.189,
2009-01,0.215,
2009-04,0.160,
2009-07,0.188,
2009-10,0.172,
2010-01,0.209,
2010-04,0.152,
2010-07,0.100,
2010-10,0.131,
2011-01,0.170,
2011-04,0.147,
2011-07,0.171,
2011-10,0.130,
2012-01,0.174,
2012-04,0.134,
2012-07,0.120,
2012-10,0.108,
2013-01,0.208,
2013-04,0.132,
2013-07,0.110,
2013-10,0.101,
2014-01,0.107,
2014-04,0.102,
2014-07,0.115,
