"",BBEX3.M.WST.USD.CM.AC.A01,BBEX3.M.WST.USD.CM.AC.A01_FLAGS
"",Exchange rates for the US dollar in Samoa  / WST 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:14,
1990-01,0.43680,
1990-02,0.43120,
1990-03,0.42490,
1990-04,0.42100,
1990-05,0.42490,
1990-06,0.42920,
1990-07,0.43070,
1990-08,0.43780,
1990-09,0.44160,
1990-10,0.44450,
1990-11,0.43450,
1990-12,0.42860,
1991-01,0.43430,
1991-02,0.42640,
1991-03,0.42130,
1991-04,0.42330,
1991-05,0.41930,
1991-06,0.41810,
1991-07,0.41880,
1991-08,0.42040,
1991-09,0.41570,
1991-10,0.41170,
1991-11,0.41400,
1991-12,0.40860,
1992-01,0.41150,
1992-02,0.41220,
1992-03,0.41240,
1992-04,0.40860,
1992-05,0.40610,
1992-06,0.40920,
1992-07,0.40930,
1992-08,0.40730,
1992-09,0.40310,
1992-10,0.39580,
1992-11,0.39000,
1992-12,0.39100,
1993-01,0.39090,
1993-02,0.39170,
1993-03,0.39670,
1993-04,0.39630,
1993-05,0.39170,
1993-06,0.38860,
1993-07,0.39050,
1993-08,0.38620,
1993-09,0.38340,
1993-10,0.38550,
1993-11,0.38170,
1993-12,0.38350,
1994-01,0.38910,
1994-02,0.39300,
1994-03,0.38580,
1994-04,0.39140,
1994-05,0.39600,
1994-06,0.39840,
1994-07,0.39450,
1994-08,0.39520,
1994-09,0.39480,
1994-10,0.40000,
1994-11,0.40370,
1994-12,0.40720,
1995-01,0.40540,
1995-02,0.40480,
1995-03,0.40910,
1995-04,0.41370,
1995-05,0.41080,
1995-06,0.41130,
1995-07,0.40780,
1995-08,0.39840,
1995-09,0.39950,
1995-10,0.39940,
1995-11,0.39610,
1995-12,0.39570,
1996-01,0.39910,
1996-02,0.40110,
1996-03,0.40780,
1996-04,0.40970,
1996-05,0.40750,
1996-06,0.40780,
1996-07,0.40990,
1996-08,0.40940,
1996-09,0.41080,
1996-10,0.41160,
1996-11,0.41420,
1996-12,0.41080,
1997-01,0.40220,
1997-02,0.40470,
1997-03,0.40460,
1997-04,0.40200,
1997-05,0.40280,
1997-06,0.39480,
1997-07,0.38620,
1997-08,0.38210,
1997-09,0.38290,
1997-10,0.37720,
1997-11,0.37200,
1997-12,0.36150,
1998-01,0.36580,
1998-02,0.36490,
1998-03,0.34670,
1998-04,0.34570,
1998-05,0.33640,
1998-06,0.33140,
1998-07,0.32750,
1998-08,0.31990,
1998-09,0.32560,
1998-10,0.33380,
1998-11,0.33150,
1998-12,0.33220,
1999-01,0.33610,
1999-02,0.32990,
1999-03,0.33460,
1999-04,0.33730,
1999-05,0.33010,
1999-06,0.33120,
1999-07,0.33060,
1999-08,0.32710,
1999-09,0.32850,
1999-10,0.32560,
1999-11,0.32650,
1999-12,0.33130,
2000-01,0.32100,
2000-02,0.31760,
2000-03,0.31940,
2000-04,0.31320,
2000-05,0.30590,
2000-06,0.31140,
2000-07,0.30550,
2000-08,0.29930,
2000-09,0.29080,
2000-10,0.28590,
2000-11,0.28860,
2000-12,0.29930,
2001-01,0.29820,
2001-02,0.29260,
2001-03,0.28090,
2001-04,0.28610,
2001-05,0.28500,
2001-06,0.28420,
2001-07,0.28520,
2001-08,0.29450,
2001-09,0.28320,
2001-10,0.28100,
2001-11,0.28370,
2001-12,0.28160,
2002-01,0.28090,
2002-02,0.28290,
2002-03,0.28890,
2002-04,0.29170,
