"",BBK01.OEXB17U,BBK01.OEXB17U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:27,
2002-01,1.501,
2002-04,1.532,
2002-07,1.547,
2002-10,1.863,
2003-01,1.932,
2003-04,2.031,
2003-07,2.108,
2003-10,2.150,
2004-01,2.205,
2004-04,2.177,
2004-07,2.213,
2004-10,2.180,
2005-01,2.199,
2005-04,2.145,
2005-07,2.315,
2005-10,2.234,
2006-01,2.228,
2006-04,2.278,
2006-07,2.339,
2006-10,2.420,
2007-01,2.365,
2007-04,2.302,
2007-07,2.246,
2007-10,2.323,
2008-01,2.024,
2008-04,1.910,
2008-07,1.858,
2008-10,1.830,
2009-01,1.804,
2009-04,1.755,
2009-07,1.880,
2009-10,1.869,
2010-01,1.855,
2010-04,1.835,
2010-07,1.811,
2010-10,1.793,
2011-01,1.803,
2011-04,1.795,
2011-07,1.809,
2011-10,1.781,
2012-01,1.775,
2012-04,1.775,
2012-07,1.797,
2012-10,1.794,
2013-01,1.709,
2013-04,1.730,
2013-07,1.761,
2013-10,1.777,
2014-01,1.791,
2014-04,1.778,
2014-07,1.793,
