"",BBFB1.M.N.DE.W1.S13.S1.T.C.D74._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.D74._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / General government / Current international cooperation / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:00,
1991-01,139.810,
1991-02,26.326,
1991-03,-0.155,
1991-04,-0.120,
1991-05,0.269,
1991-06,20.918,
1991-07,35.714,
1991-08,28.671,
1991-09,155.768,
1991-10,14.002,
1991-11,15.635,
1991-12,53.121,
1992-01,125.389,
1992-02,4.563,
1992-03,85.459,
1992-04,116.223,
1992-05,22.317,
1992-06,14.367,
1992-07,57.430,
1992-08,25.212,
1992-09,29.834,
1992-10,3.220,
1992-11,130.272,
1992-12,2.968,
1993-01,399.415,
1993-02,96.006,
1993-03,64.935,
1993-04,18.115,
1993-05,12.033,
1993-06,23.927,
1993-07,2.035,
1993-08,2.654,
1993-09,2.721,
1993-10,12.802,
1993-11,126.758,
1993-12,40.979,
1994-01,188.791,
1994-02,9.437,
1994-03,0.240,
1994-04,5.130,
1994-05,14.906,
1994-06,19.850,
1994-07,2.994,
1994-08,7.554,
1994-09,3.788,
1994-10,196.051,
1994-11,66.161,
1994-12,33.755,
1995-01,401.088,
1995-02,11.941,
1995-03,60.801,
1995-04,1.012,
1995-05,8.988,
1995-06,4.081,
1995-07,37.794,
1995-08,21.645,
1995-09,204.858,
1995-10,69.332,
1995-11,69.208,
1995-12,-70.181,
1996-01,205.823,
1996-02,45.293,
1996-03,71.007,
1996-04,15.184,
1996-05,5.747,
1996-06,106.440,
1996-07,77.886,
1996-08,14.831,
1996-09,81.932,
1996-10,66.317,
1996-11,142.017,
1996-12,31.624,
1997-01,358.872,
1997-02,215.277,
1997-03,18.227,
1997-04,129.050,
1997-05,81.416,
1997-06,153.270,
1997-07,101.004,
1997-08,312.606,
1997-09,116.174,
1997-10,16.766,
1997-11,143.272,
1997-12,-42.207,
1998-01,52.066,
1998-02,91.407,
1998-03,64.518,
1998-04,41.777,
1998-05,222.235,
1998-06,77.367,
1998-07,247.873,
1998-08,63.576,
1998-09,206.690,
1998-10,64.676,
1998-11,2.850,
1998-12,-60.047,
1999-01,93.387,
1999-02,-,Nothing exists
1999-03,144.768,
1999-04,336.504,
1999-05,90.217,
1999-06,198.881,
1999-07,339.173,
1999-08,35.684,
1999-09,1.408,
1999-10,124.073,
1999-11,6.993,
1999-12,27.798,
2000-01,67.767,
2000-02,17.743,
2000-03,487.616,
2000-04,28.531,
2000-05,284.999,
2000-06,40.722,
2000-07,21.402,
2000-08,24.743,
2000-09,67.774,
2000-10,41.015,
2000-11,186.789,
2000-12,2.403,
2001-01,267.986,
2001-02,-,Nothing exists
2001-03,11.386,
2001-04,365.680,
2001-05,3.264,
2001-06,24.083,
2001-07,302.376,
2001-08,3.171,
2001-09,418.713,
2001-10,33.449,
2001-11,5.260,
2001-12,34.509,
2002-01,380.976,
2002-02,2.069,
2002-03,12.323,
2002-04,32.440,
2002-05,0.089,
2002-06,282.618,
2002-07,0.156,
2002-08,351.911,
2002-09,0.184,
2002-10,57.861,
2002-11,27.559,
2002-12,691.971,
2003-01,2.490,
2003-02,0.714,
2003-03,101.391,
2003-04,27.776,
2003-05,66.903,
2003-06,322.767,
2003-07,245.332,
2003-08,26.037,
2003-09,145.795,
2003-10,70.588,
2003-11,4.027,
2003-12,390.071,
2004-01,20.521,
2004-02,25.372,
2004-03,38.882,
2004-04,20.592,
2004-05,150.152,
2004-06,175.030,
2004-07,170.314,
2004-08,232.196,
2004-09,190.044,
2004-10,64.176,
2004-11,140.397,
2004-12,233.500,
2005-01,28.646,
2005-02,0.610,
2005-03,247.872,
2005-04,-,Nothing exists
2005-05,498.443,
2005-06,151.585,
2005-07,156.886,
2005-08,171.477,
2005-09,38.762,
2005-10,49.458,
2005-11,141.934,
2005-12,126.176,
2006-01,212.219,
2006-02,288.051,
2006-03,18.033,
2006-04,-,Nothing exists
2006-05,0.138,
2006-06,355.212,
2006-07,6.143,
2006-08,286.872,
2006-09,59.807,
2006-10,9.087,
2006-11,345.686,
2006-12,98.656,
2007-01,131.617,
2007-02,27.001,
2007-03,15.337,
2007-04,-,Nothing exists
2007-05,378.073,
2007-06,28.682,
2007-07,5.838,
2007-08,239.710,
2007-09,12.282,
2007-10,109.622,
2007-11,30.336,
2007-12,29.471,
2008-01,566.396,
2008-02,71.792,
2008-03,-,Nothing exists
2008-04,104.634,
2008-05,157.775,
2008-06,17.776,
2008-07,37.971,
2008-08,101.397,
2008-09,5.692,
2008-10,54.964,
2008-11,1.322,
2008-12,29.594,
2009-01,25.356,
2009-02,184.133,
2009-03,-,Nothing exists
2009-04,87.195,
2009-05,-,Nothing exists
2009-06,-,Nothing exists
2009-07,39.359,
2009-08,-,Nothing exists
2009-09,1.796,
2009-10,-,Nothing exists
2009-11,-,Nothing exists
2009-12,1.431,
2010-01,228.851,
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,0.189,
2010-05,95.156,
2010-06,-,Nothing exists
2010-07,93.268,
2010-08,-,Nothing exists
2010-09,0.407,
2010-10,-,Nothing exists
2010-11,135.610,
2010-12,-,Nothing exists
2011-01,150.328,
2011-02,-,Nothing exists
2011-03,-,Nothing exists
2011-04,-,Nothing exists
2011-05,7.301,
2011-06,-,Nothing exists
2011-07,235.225,
2011-08,1.326,
2011-09,-,Nothing exists
2011-10,17.202,
2011-11,211.928,
2011-12,-,Nothing exists
2012-01,32.095,
2012-02,70.166,
2012-03,0.405,
2012-04,-,Nothing exists
2012-05,0.414,
2012-06,169.231,
2012-07,259.177,
2012-08,-,Nothing exists
2012-09,1.986,
2012-10,-,Nothing exists
2012-11,1.219,
2012-12,-,Nothing exists
2013-01,263.792,
2013-02,8.864,
2013-03,0.577,
2013-04,44.271,
2013-05,78.622,
2013-06,-,Nothing exists
2013-07,273.835,
2013-08,-,Nothing exists
2013-09,-,Nothing exists
2013-10,0.097,
2013-11,65.418,
2013-12,117.581,
2014-01,32.986,
2014-02,36.380,Provisional value
2014-03,-,Nothing exists
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,133.176,Provisional value
2014-07,-,Nothing exists
2014-08,85.028,Provisional value
2014-09,-,Nothing exists
2014-10,-,Nothing exists
2014-11,35.936,
2014-12,73.149,Provisional value
