"",BBK01.CEFM20,BBK01.CEFM20_FLAGS
"",Currency                                                           debtor: Domestic financial corporations    creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:07,
1999-01,135.9,
1999-04,137.0,
1999-07,138.0,
1999-10,148.2,
2000-01,139.2,
2000-04,139.7,
2000-07,139.5,
2000-10,142.2,
2001-01,133.3,
2001-04,129.7,
2001-07,119.4,
2001-10,82.8,
2002-01,73.4,
2002-04,81.5,
2002-07,86.9,
2002-10,99.7,
2003-01,98.1,
2003-04,105.2,
2003-07,109.2,
2003-10,121.4,
2004-01,115.0,
2004-04,122.3,
2004-07,126.5,
2004-10,136.3,
2005-01,136.1,
2005-04,142.6,
2005-07,145.0,
2005-10,153.7,
2006-01,151.5,
2006-04,157.8,
2006-07,160.3,
2006-10,170.9,
2007-01,166.6,
2007-04,171.9,
2007-07,173.1,
2007-10,183.8,
2008-01,179.0,
2008-04,183.8,
2008-07,185.3,
2008-10,206.6,
2009-01,186.5,
2009-04,190.6,
2009-07,191.5,
2009-10,201.3,
2010-01,199.0,
2010-04,202.7,
2010-07,203.0,
2010-10,209.6,
2011-01,205.2,
2011-04,210.9,
2011-07,213.5,
2011-10,221.3,
2012-01,216.6,
2012-04,222.5,
2012-07,222.2,
2012-10,227.2,
2013-01,223.1,
2013-04,226.9,
2013-07,227.9,
2013-10,237.3,
2014-01,222.2,
2014-04,227.0,
2014-07,229.8,
