"",BBFN1.M.DE.N.1.A.W1.S1P.H0.T.N000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H0.T.N000.EUR.BGA.X001.D_FLAGS
2005-04,88.221,
2005-05,88.187,
2005-06,90.961,
2005-07,88.587,
2005-08,85.495,
2005-09,90.331,
2005-10,90.806,
2005-11,94.550,
2005-12,92.078,
2006-01,92.268,
2006-02,94.091,
2006-03,98.128,
2006-04,96.627,
2006-05,98.134,
2006-06,99.718,
2006-07,96.862,
2006-08,94.465,
2006-09,99.505,
2006-10,99.868,
2006-11,104.033,
2006-12,100.707,
2007-01,101.402,
2007-02,103.795,
2007-03,107.033,
2007-04,104.945,
2007-05,105.746,
2007-06,108.653,
2007-07,106.184,
2007-08,103.750,
2007-09,107.743,
2007-10,109.840,
2007-11,113.794,
2007-12,108.780,
2008-01,108.778,
2008-02,112.750,
2008-03,114.959,
2008-04,117.368,
2008-05,117.549,
2008-06,118.873,
2008-07,116.798,
2008-08,113.730,
2008-09,117.612,
2008-10,117.932,
2008-11,117.595,
2008-12,111.810,
2009-01,105.696,
2009-02,106.623,
2009-03,107.459,
2009-04,102.294,
2009-05,104.140,
2009-06,107.374,
2009-07,105.740,
2009-08,101.293,
2009-09,104.938,
2009-10,107.051,
2009-11,110.621,
2009-12,104.662,
2010-01,96.881,
2010-02,98.102,
2010-03,105.282,
2010-04,103.953,
2010-05,105.738,
2010-06,110.142,
2010-07,107.399,
2010-08,105.424,
2010-09,110.701,
2010-10,112.986,
2010-11,113.653,
2010-12,110.988,
2011-01,110.712,
2011-02,116.219,
2011-03,118.877,
2011-04,118.262,
2011-05,119.904,
2011-06,120.639,
2011-07,118.303,
2011-08,115.719,
2011-09,121.860,
2011-10,120.814,
2011-11,123.039,
2011-12,119.956,
2012-01,117.272,
2012-02,120.013,
2012-03,125.299,
2012-04,120.921,
2012-05,120.526,
2012-06,125.999,
2012-07,123.468,
2012-08,119.815,
2012-09,124.630,
2012-10,124.067,
2012-11,126.919,
2012-12,124.421,
2013-01,121.912,
2013-02,124.094,
2013-03,129.002,
2013-04,127.561,
2013-05,123.930,
2013-06,128.886,
2013-07,123.743,
2013-08,123.018,
2013-09,130.773,
2013-10,131.402,
2013-11,132.492,
2013-12,127.357,
2014-01,121.659,
2014-02,123.707,
2014-03,128.634,
2014-04,126.885,
2014-05,125.566,
2014-06,129.194,
2014-07,126.463,
2014-08,124.429,
2014-09,128.607,
2014-10,128.706,
2014-11,131.460,
2014-12,126.796,
"","General: From January 1999, including national currencies of the euro-area member states.",
