"",BBK01.OELB05U,BBK01.OELB05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:42,
2002-01,2.576,
2002-04,2.541,
2002-07,2.529,
2002-10,2.514,
2003-01,2.476,
2003-04,2.471,
2003-07,2.472,
2003-10,2.408,
2004-01,2.417,
2004-04,2.394,
2004-07,2.365,
2004-10,2.466,
2005-01,2.365,
2005-04,2.330,
2005-07,2.324,
2005-10,2.316,
2006-01,2.309,
2006-04,2.304,
2006-07,2.301,
2006-10,2.233,
2007-01,2.213,
2007-04,2.216,
2007-07,2.233,
2007-10,2.230,
2008-01,2.222,
2008-04,2.245,
2008-07,2.249,
2008-10,2.242,
2009-01,2.240,
2009-04,2.263,
2009-07,2.283,
2009-10,2.307,
2010-01,2.302,
2010-04,2.464,
2010-07,2.477,
2010-10,2.501,
2011-01,2.526,
2011-04,2.584,
2011-07,2.621,
2011-10,2.642,
2012-01,2.661,
2012-04,3.087,
2012-07,3.134,
2012-10,3.171,
2013-01,3.199,
2013-04,3.253,
2013-07,3.325,
2013-10,3.366,
2014-01,3.391,
2014-04,3.432,
2014-07,3.520,
