"",BBK01.OEAF38K,BBK01.OEAF38K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:10,
2002-01,0.823,
2002-04,0.870,
2002-07,0.885,
2002-10,0.876,
2003-01,0.816,
2003-04,0.792,
2003-07,0.762,
2003-10,0.788,
2004-01,0.745,
2004-04,0.678,
2004-07,0.685,
2004-10,0.679,
2005-01,0.681,
2005-04,0.664,
2005-07,0.636,
2005-10,0.591,
2006-01,0.587,
2006-04,0.593,
2006-07,0.593,
2006-10,0.596,
2007-01,0.587,
2007-04,0.589,
2007-07,0.592,
2007-10,0.588,
2008-01,0.588,
2008-04,0.596,
2008-07,0.586,
2008-10,0.581,
2009-01,0.582,
2009-04,0.582,
2009-07,0.582,
2009-10,0.558,
2010-01,0.554,
2010-04,0.601,
2010-07,0.683,
2010-10,0.668,
2011-01,0.686,
2011-04,0.669,
2011-07,0.663,
2011-10,0.704,
2012-01,0.704,
2012-04,0.695,
2012-07,0.695,
2012-10,0.692,
2013-01,0.700,
2013-04,0.699,
2013-07,0.684,
2013-10,0.677,
2014-01,0.661,
2014-04,0.651,
2014-07,0.648,
