"",BBK01.OEBK04S,BBK01.OEBK04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:13,
2002-01,0.119,
2002-04,0.117,
2002-07,0.102,
2002-10,0.077,
2003-01,0.073,
2003-04,0.059,
2003-07,0.062,
2003-10,0.057,
2004-01,0.056,
2004-04,0.050,
2004-07,0.043,
2004-10,0.050,
2005-01,0.045,
2005-04,0.045,
2005-07,0.047,
2005-10,0.049,
2006-01,0.052,
2006-04,0.051,
2006-07,0.048,
2006-10,0.056,
2007-01,0.054,
2007-04,0.060,
2007-07,0.066,
2007-10,0.071,
2008-01,0.088,
2008-04,0.098,
2008-07,0.152,
2008-10,0.141,
2009-01,0.082,
2009-04,0.069,
2009-07,0.050,
2009-10,0.041,
2010-01,0.041,
2010-04,0.037,
2010-07,0.020,
2010-10,0.014,
2011-01,0.020,
2011-04,0.016,
2011-07,0.020,
2011-10,0.024,
2012-01,0.027,
2012-04,0.027,
2012-07,0.019,
2012-10,0.014,
2013-01,0.012,
2013-04,0.011,
2013-07,0.010,
2013-10,0.009,
2014-01,0.010,
2014-04,0.008,
2014-07,0.008,
