"",BBK01.OEBB16S,BBK01.OEBB16S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:45,
2002-01,0.987,
2002-04,0.989,
2002-07,0.992,
2002-10,0.853,
2003-01,0.844,
2003-04,0.846,
2003-07,0.848,
2003-10,0.835,
2004-01,0.831,
2004-04,0.822,
2004-07,0.820,
2004-10,0.821,
2005-01,0.870,
2005-04,0.862,
2005-07,0.852,
2005-10,0.820,
2006-01,0.821,
2006-04,0.828,
2006-07,0.830,
2006-10,0.826,
2007-01,0.820,
2007-04,0.827,
2007-07,0.836,
2007-10,0.880,
2008-01,0.852,
2008-04,0.855,
2008-07,0.858,
2008-10,0.863,
2009-01,0.860,
2009-04,1.004,
2009-07,0.998,
2009-10,1.007,
2010-01,1.005,
2010-04,1.003,
2010-07,1.005,
2010-10,1.018,
2011-01,0.992,
2011-04,0.999,
2011-07,0.995,
2011-10,1.001,
2012-01,0.983,
2012-04,0.976,
2012-07,0.979,
2012-10,0.980,
2013-01,0.984,
2013-04,0.994,
2013-07,0.988,
2013-10,0.998,
2014-01,1.002,
2014-04,0.988,
2014-07,0.995,
