"",BBK01.CEHH0X,BBK01.CEHH0X_FLAGS
"",Shares debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:59,
1991-01,-0.7,
1991-04,-1.4,
1991-07,-0.6,
1991-10,5.7,
1992-01,3.2,
1992-04,-0.4,
1992-07,0.5,
1992-10,5.1,
1993-01,1.0,
1993-04,-4.3,
1993-07,1.1,
1993-10,6.6,
1994-01,7.3,
1994-04,0.9,
1994-07,-1.3,
1994-10,5.1,
1995-01,2.8,
1995-04,0.0,
1995-07,-1.1,
1995-10,5.9,
1996-01,0.5,
1996-04,-2.5,
1996-07,-0.8,
1996-10,9.1,
1997-01,7.0,
1997-04,-0.1,
1997-07,2.5,
1997-10,12.0,
1998-01,9.1,
1998-04,4.8,
1998-07,9.6,
1998-10,19.8,
1999-01,8.6,
1999-04,2.1,
1999-07,-4.4,
1999-10,17.9,
2000-01,1.0,
2000-04,15.8,
2000-07,11.5,
2000-10,27.6,
2001-01,8.6,
2001-04,0.5,
2001-07,-6.6,
2001-10,26.7,
2002-01,-0.2,
2002-04,2.6,
2002-07,3.4,
2002-10,-2.5,
2003-01,1.3,
2003-04,2.5,
2003-07,-15.7,
2003-10,4.8,
2004-01,4.1,
2004-04,-11.2,
2004-07,-9.8,
2004-10,13.7,
2005-01,-6.3,
2005-04,-2.9,
2005-07,-4.7,
2005-10,5.6,
2006-01,17.3,
2006-04,15.7,
2006-07,4.4,
2006-10,0.9,
2007-01,-3.4,
2007-04,-4.1,
2007-07,-21.7,
2007-10,18.2,
2008-01,-9.0,
2008-04,-0.4,
2008-07,-4.8,
2008-10,-21.1,
2009-01,7.7,
2009-04,-0.6,
2009-07,-3.7,
2009-10,-1.9,
2010-01,5.2,
2010-04,7.9,
2010-07,-3.2,
2010-10,7.9,
2011-01,4.0,
2011-04,-0.2,
2011-07,-10.1,
2011-10,-2.9,
2012-01,-4.3,
2012-04,-5.9,
2012-07,-3.7,
2012-10,3.4,
2013-01,-2.7,
2013-04,6.1,
2013-07,3.4,
2013-10,1.0,
2014-01,2.3,
