"",BBK01.CELF13,BBK01.CELF13_FLAGS
"",long-term loans                                              debtor: Non-financial corporations  creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:18,
1999-01,13.2,
1999-04,8.2,
1999-07,16.2,
1999-10,14.1,
2000-01,-4.3,
2000-04,8.1,
2000-07,10.5,
2000-10,10.2,
2001-01,1.5,
2001-04,0.3,
2001-07,4.4,
2001-10,10.7,
2002-01,-0.1,
2002-04,-4.1,
2002-07,-0.6,
2002-10,0.2,
2003-01,-3.5,
2003-04,-1.3,
2003-07,-4.2,
2003-10,-1.5,
2004-01,-0.3,
2004-04,0.3,
2004-07,-5.6,
2004-10,6.5,
2005-01,-6.7,
2005-04,0.5,
2005-07,-3.1,
2005-10,7.6,
2006-01,-3.9,
2006-04,4.1,
2006-07,6.5,
2006-10,0.0,
2007-01,1.3,
2007-04,2.4,
2007-07,5.0,
2007-10,11.8,
2008-01,-14.9,
2008-04,0.0,
2008-07,7.7,
2008-10,5.1,
2009-01,1.2,
2009-04,2.1,
2009-07,7.4,
2009-10,8.5,
2010-01,-4.8,
2010-04,-4.7,
2010-07,-0.5,
2010-10,-2.3,
2011-01,-3.4,
2011-04,3.2,
2011-07,1.0,
2011-10,14.6,
2012-01,0.6,
2012-04,8.5,
2012-07,-5.4,
2012-10,4.3,
2013-01,-4.5,
2013-04,-0.5,
2013-07,-4.3,
2013-10,5.2,
2014-01,1.2,
2014-04,2.4,
2014-07,3.8,
