"",BBK01.OEAD20L,BBK01.OEAD20L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:58,
2002-01,0.840,
2002-04,0.802,
2002-07,0.754,
2002-10,0.927,
2003-01,0.840,
2003-04,0.709,
2003-07,0.793,
2003-10,0.537,
2004-01,1.171,
2004-04,0.770,
2004-07,0.795,
2004-10,0.968,
2005-01,0.594,
2005-04,0.590,
2005-07,0.644,
2005-10,0.522,
2006-01,0.592,
2006-04,0.603,
2006-07,0.529,
2006-10,0.511,
2007-01,0.491,
2007-04,0.457,
2007-07,0.571,
2007-10,0.561,
2008-01,0.490,
2008-04,0.499,
2008-07,0.464,
2008-10,0.638,
2009-01,0.740,
2009-04,1.359,
2009-07,1.803,
2009-10,0.343,
2010-01,0.286,
2010-04,0.241,
2010-07,0.263,
2010-10,0.312,
2011-01,0.351,
2011-04,0.294,
2011-07,0.399,
2011-10,0.487,
2012-01,0.457,
2012-04,0.365,
2012-07,0.465,
2012-10,0.445,
2013-01,0.394,
2013-04,0.376,
2013-07,0.338,
2013-10,0.438,
2014-01,0.406,
2014-04,0.361,
2014-07,0.346,
