"",BBEX3.M.MWK.USD.CA.AC.A01,BBEX3.M.MWK.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Malawi  / USD 1 = MWK ... (middle),
unit,MWK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:29,
1992-09,3.99360,
1992-10,4.26440,
1992-11,4.35160,
1992-12,4.39560,
1993-01,4.35920,
1993-02,4.45630,
1993-03,4.40920,
1993-04,4.27170,
1993-05,4.28080,
1993-06,4.43070,
1993-07,4.45040,
1993-08,4.39950,
1993-09,4.35920,
1993-10,4.45430,
1993-11,4.48030,
1993-12,4.49440,
1994-01,4.47630,
1994-02,6.64450,comment
1994-03,6.60000,
1994-04,6.81005,
1994-05,7.10000,
1994-06,7.39005,
1994-07,7.39005,
1994-08,7.83580,
1994-09,9.48280,
1994-10,14.93515,
1994-11,17.45675,
1994-12,15.29860,
1995-01,15.28120,
1995-02,15.25590,
1995-03,15.31170,
1995-04,15.30110,
1995-05,15.31130,
1995-06,15.32200,
1995-07,15.26560,
1995-08,15.25850,
1995-09,15.24270,
1995-10,15.24100,
1995-11,15.30150,
1995-12,15.30310,
1996-01,15.29860,
1996-02,15.30530,
1996-03,15.30620,
1996-04,15.30190,
1996-05,15.30190,
1996-06,15.30340,
1996-07,15.30410,
1996-08,15.30910,
1996-09,15.31180,
1996-10,15.31940,
1996-11,15.32030,
1996-12,15.32310,
1997-01,15.32610,
1997-02,15.35350,
1997-03,15.36830,
1997-04,15.36810,
1997-05,15.35770,
1997-06,15.35460,
1997-07,17.20000,
1997-08,17.23450,
1997-09,17.25800,
1997-10,17.69980,
1997-11,17.97350,
1997-12,21.16230,
1998-01,21.27170,
1998-02,23.53490,
1998-03,25.16770,
1998-04,25.44780,
1998-05,25.73150,
1998-06,26.49920,
1998-07,26.71580,
1998-08,39.39890,comment
1998-09,40.92660,
1998-10,42.41030,
1998-11,44.33760,
1998-12,43.88360,
1999-01,43.42620,
1999-02,43.92940,
1999-03,44.08210,
1999-04,43.71540,
1999-05,43.55700,
1999-06,43.20250,
1999-07,43.57890,
1999-08,43.55280,
1999-09,43.61200,
1999-10,45.42880,
1999-11,46.07390,
1999-12,46.43770,
2000-01,46.60450,
2000-02,46.79430,
2000-03,47.17790,
2000-04,47.50170,
2000-05,52.43780,
2000-06,56.00910,
2000-07,57.71000,
2000-08,60.80120,
2000-09,74.25880,
2000-10,79.51800,
2000-11,80.09620,
2000-12,80.07600,
2001-01,80.10360,
2001-02,79.66990,
2001-03,79.01170,
2001-04,78.44290,
2001-05,75.83250,
2001-06,74.17650,
2001-07,68.81380,
2001-08,65.44620,
2001-09,61.73540,
2001-10,62.79750,
2001-11,67.32280,
2001-12,67.29410,
2002-01,67.93180,
2002-02,72.71180,
2002-03,74.80430,
2002-04,75.85490,
2002-05,75.88700,
2002-06,76.61100,
2002-07,75.64610,
2002-08,76.73920,
2002-09,80.31850,
2002-10,80.46510,
2002-11,82.72280,
2002-12,87.13880,
2003-01,89.21160,
2003-02,90.15090,
2003-03,91.57150,
2003-04,90.47330,
2003-05,92.57050,
2003-06,89.91500,
2003-07,96.86100,
2003-08,108.10520,
2003-09,108.09350,
2003-10,108.36830,
2003-11,107.49440,
2003-12,108.56690,
2004-01,108.69480,
2004-02,108.86540,
2004-03,108.92730,
2004-04,108.92530,
2004-05,108.87620,
2004-06,108.90800,
2004-07,108.93620,
2004-08,108.97920,
2004-09,108.94620,
2004-10,108.94320,
2004-11,108.94320,
2004-12,108.94320,
2005-01,108.94320,
2005-02,108.94320,
2005-03,111.49970,
2005-04,114.99560,
2005-05,119.06620,
2005-06,122.98530,
2005-07,123.70000,
2005-08,123.41090,
2005-09,124.10020,
2005-10,123.25010,
2005-11,123.78050,
2005-12,123.78060,
2006-01,129.16200,
2006-02,132.69420,
2006-03,133.76030,
2006-04,137.60900,
2006-05,139.14800,
2006-06,138.98680,
2006-07,138.36750,
2006-08,138.27940,
2006-09,138.25200,
2006-10,137.76010,
2006-11,138.46400,
2006-12,139.34260,
2007-01,139.46600,
2007-02,139.30880,
2007-03,139.67130,
2007-04,140.53110,
2007-05,140.31720,
2007-06,140.64410,
