"",BBK01.OELB04G,BBK01.OELB04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:13,
2002-01,54.286,
2002-04,54.400,
2002-07,54.793,
2002-10,55.407,
2003-01,54.904,
2003-04,55.214,
2003-07,55.788,
2003-10,56.643,
2004-01,56.396,
2004-04,56.905,
2004-07,57.543,
2004-10,56.939,
2005-01,56.612,
2005-04,57.216,
2005-07,57.928,
2005-10,59.008,
2006-01,59.239,
2006-04,59.909,
2006-07,60.660,
2006-10,61.313,
2007-01,61.361,
2007-04,61.857,
2007-07,62.542,
2007-10,63.576,
2008-01,63.617,
2008-04,64.193,
2008-07,64.985,
2008-10,65.453,
2009-01,65.427,
2009-04,66.026,
2009-07,66.917,
2009-10,67.969,
2010-01,67.989,
2010-04,68.827,
2010-07,69.768,
2010-10,70.658,
2011-01,71.016,
2011-04,71.868,
2011-07,72.634,
2011-10,73.600,
2012-01,73.868,
2012-04,77.246,
2012-07,78.713,
2012-10,79.771,
2013-01,80.206,
2013-04,81.317,
2013-07,82.656,
2013-10,83.699,
2014-01,84.040,
2014-04,85.018,
2014-07,86.114,
