"",BBK01.CEFA01,BBK01.CEFA01_FLAGS
"",short-term debt securities  debtor: Total                              creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:45,
1999-01,8.3,
1999-04,10.2,
1999-07,2.4,
1999-10,4.2,
2000-01,7.3,
2000-04,5.4,
2000-07,7.8,
2000-10,17.3,
2001-01,24.3,
2001-04,23.5,
2001-07,24.9,
2001-10,24.4,
2002-01,34.2,
2002-04,28.6,
2002-07,29.7,
2002-10,27.8,
2003-01,21.9,
2003-04,15.5,
2003-07,18.6,
2003-10,29.1,
2004-01,37.5,
2004-04,42.5,
2004-07,33.3,
2004-10,32.9,
2005-01,37.6,
2005-04,41.5,
2005-07,36.7,
2005-10,31.0,
2006-01,2.1,
2006-04,2.5,
2006-07,3.6,
2006-10,3.4,
2007-01,4.7,
2007-04,4.3,
2007-07,4.5,
2007-10,3.6,
2008-01,5.9,
2008-04,4.9,
2008-07,2.3,
2008-10,3.1,
2009-01,6.0,
2009-04,6.2,
2009-07,6.3,
2009-10,7.1,
2010-01,6.5,
2010-04,5.9,
2010-07,5.8,
2010-10,4.2,
2011-01,4.6,
2011-04,4.4,
2011-07,5.4,
2011-10,6.3,
2012-01,5.6,
2012-04,6.0,
2012-07,6.3,
2012-10,3.6,
2013-01,5.4,
2013-04,4.7,
2013-07,5.5,
2013-10,5.1,
2014-01,6.9,
2014-04,6.8,
2014-07,6.4,
