"",BBK01.OEAH23G,BBK01.OEAH23G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:14,
2002-01,2.752,
2002-04,2.718,
2002-07,2.708,
2002-10,2.762,
2003-01,2.717,
2003-04,2.655,
2003-07,2.545,
2003-10,2.541,
2004-01,2.144,
2004-04,1.911,
2004-07,1.808,
2004-10,1.820,
2005-01,1.736,
2005-04,1.811,
2005-07,1.818,
2005-10,2.155,
2006-01,2.465,
2006-04,2.776,
2006-07,3.219,
2006-10,3.965,
2007-01,4.646,
2007-04,5.497,
2007-07,6.418,
2007-10,7.730,
2008-01,8.578,
2008-04,9.488,
2008-07,10.101,
2008-10,12.219,
2009-01,11.927,
2009-04,10.197,
2009-07,8.384,
2009-10,6.630,
2010-01,5.271,
2010-04,4.702,
2010-07,4.470,
2010-10,4.597,
2011-01,4.322,
2011-04,4.449,
2011-07,4.614,
2011-10,5.348,
2012-01,5.178,
2012-04,4.982,
2012-07,4.571,
2012-10,4.381,
2013-01,3.745,
2013-04,3.177,
2013-07,2.907,
2013-10,2.999,
2014-01,2.652,
2014-04,2.345,
2014-07,2.061,
