"",BBK01.OELJ09L,BBK01.OELJ09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:12,
2002-01,0.048,
2002-04,0.036,
2002-07,0.036,
2002-10,0.031,
2003-01,0.033,
2003-04,0.039,
2003-07,0.036,
2003-10,0.038,
2004-01,0.046,
2004-04,0.039,
2004-07,0.040,
2004-10,0.047,
2005-01,0.044,
2005-04,0.043,
2005-07,0.044,
2005-10,0.037,
2006-01,0.037,
2006-04,0.052,
2006-07,0.058,
2006-10,0.052,
2007-01,0.052,
2007-04,0.050,
2007-07,0.040,
2007-10,0.035,
2008-01,0.027,
2008-04,0.026,
2008-07,0.018,
2008-10,0.022,
2009-01,0.032,
2009-04,0.040,
2009-07,0.056,
2009-10,0.062,
2010-01,0.075,
2010-04,0.071,
2010-07,0.065,
2010-10,0.054,
2011-01,0.046,
2011-04,0.042,
2011-07,0.040,
2011-10,0.026,
2012-01,0.030,
2012-04,0.027,
2012-07,0.029,
2012-10,0.032,
2013-01,0.034,
2013-04,0.031,
2013-07,0.031,
2013-10,0.025,
2014-01,0.022,
2014-04,0.024,
2014-07,0.022,
