"",BBDE1.M.DE.Y.AEA1.A2P350000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2P350000.F.V.I10.A_FLAGS
"",Orders received / At current prices / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:00,
1991-01,94.1,
1991-02,94.0,
1991-03,93.9,
1991-04,92.9,
1991-05,92.6,
1991-06,97.2,
1991-07,90.4,
1991-08,91.5,
1991-09,91.7,
1991-10,95.0,
1991-11,97.1,
1991-12,92.8,
1992-01,96.1,
1992-02,95.6,
1992-03,92.1,
1992-04,92.2,
1992-05,91.7,
1992-06,92.1,
1992-07,88.0,
1992-08,91.5,
1992-09,90.1,
1992-10,90.7,
1992-11,90.8,
1992-12,91.5,
1993-01,91.7,
1993-02,86.3,
1993-03,87.2,
1993-04,85.9,
1993-05,89.5,
1993-06,85.2,
1993-07,87.2,
1993-08,90.4,
1993-09,86.6,
1993-10,85.9,
1993-11,88.3,
1993-12,87.6,
1994-01,88.5,
1994-02,88.1,
1994-03,89.2,
1994-04,89.7,
1994-05,87.9,
1994-06,86.0,
1994-07,87.9,
1994-08,88.4,
1994-09,89.5,
1994-10,90.6,
1994-11,88.7,
1994-12,88.9,
1995-01,90.4,
1995-02,88.8,
1995-03,88.4,
1995-04,92.8,
1995-05,92.2,
1995-06,91.2,
1995-07,91.5,
1995-08,90.0,
1995-09,92.9,
1995-10,94.3,
1995-11,89.3,
1995-12,90.3,
1996-01,89.4,
1996-02,86.8,
1996-03,89.7,
1996-04,89.7,
1996-05,90.4,
1996-06,88.1,
1996-07,86.7,
1996-08,86.9,
1996-09,89.0,
1996-10,87.9,
1996-11,86.8,
1996-12,90.0,
1997-01,88.1,
1997-02,90.4,
1997-03,91.8,
1997-04,90.5,
1997-05,89.5,
1997-06,91.4,
1997-07,90.8,
1997-08,90.0,
1997-09,91.8,
1997-10,91.5,
1997-11,89.5,
1997-12,95.6,
1998-01,90.8,
1998-02,91.8,
1998-03,94.0,
1998-04,90.6,
1998-05,92.2,
1998-06,94.5,
1998-07,91.7,
1998-08,89.3,
1998-09,90.4,
1998-10,86.8,
1998-11,86.7,
1998-12,90.1,
1999-01,89.3,
1999-02,88.6,
1999-03,88.3,
1999-04,91.1,
1999-05,92.0,
1999-06,89.7,
1999-07,92.3,
1999-08,91.7,
1999-09,90.6,
1999-10,91.1,
1999-11,95.3,
1999-12,90.9,
2000-01,88.7,
2000-02,91.4,
2000-03,92.8,
2000-04,92.6,
2000-05,94.1,
2000-06,94.5,
2000-07,94.1,
2000-08,94.3,
2000-09,97.1,
2000-10,94.4,
2000-11,95.6,
2000-12,97.5,
2001-01,98.1,
2001-02,96.2,
2001-03,95.9,
2001-04,96.7,
2001-05,98.0,
2001-06,100.2,
2001-07,98.5,
2001-08,98.4,
2001-09,94.5,
2001-10,97.2,
2001-11,97.2,
2001-12,97.7,
2002-01,98.7,
2002-02,94.3,
2002-03,99.1,
2002-04,97.5,
2002-05,94.6,
2002-06,94.1,
2002-07,95.3,
2002-08,95.0,
2002-09,98.0,
2002-10,96.3,
2002-11,97.8,
2002-12,93.8,
2003-01,96.3,
2003-02,95.4,
2003-03,93.3,
2003-04,94.2,
2003-05,93.2,
2003-06,93.7,
2003-07,94.4,
2003-08,93.7,
2003-09,94.6,
2003-10,97.9,
2003-11,93.7,
2003-12,98.5,
2004-01,93.6,
2004-02,94.0,
2004-03,93.6,
2004-04,96.1,
2004-05,94.2,
2004-06,92.3,
2004-07,96.5,
2004-08,92.7,
