"",BBK01.OEAN07M,BBK01.OEAN07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:02,
2002-01,1.279,
2002-04,1.275,
2002-07,1.267,
2002-10,1.302,
2003-01,1.177,
2003-04,1.151,
2003-07,1.107,
2003-10,1.085,
2004-01,1.014,
2004-04,1.035,
2004-07,1.036,
2004-10,1.100,
2005-01,1.091,
2005-04,1.099,
2005-07,1.095,
2005-10,1.065,
2006-01,1.034,
2006-04,1.024,
2006-07,1.017,
2006-10,1.009,
2007-01,0.928,
2007-04,0.913,
2007-07,0.893,
2007-10,0.867,
2008-01,0.805,
2008-04,0.780,
2008-07,0.590,
2008-10,0.576,
2009-01,0.536,
2009-04,0.547,
2009-07,0.600,
2009-10,0.612,
2010-01,0.597,
2010-04,0.622,
2010-07,0.628,
2010-10,0.607,
2011-01,0.578,
2011-04,0.584,
2011-07,0.594,
2011-10,0.596,
2012-01,0.592,
2012-04,0.610,
2012-07,0.629,
2012-10,0.634,
2013-01,0.620,
2013-04,0.636,
2013-07,0.647,
2013-10,0.641,
2014-01,0.622,
2014-04,0.653,
2014-07,0.671,
