"",BBK01.OEAL09G,BBK01.OEAL09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:46,
2002-01,20.023,
2002-04,19.476,
2002-07,19.116,
2002-10,18.634,
2003-01,17.739,
2003-04,16.557,
2003-07,15.742,
2003-10,16.343,
2004-01,16.148,
2004-04,15.690,
2004-07,15.710,
2004-10,16.495,
2005-01,16.822,
2005-04,16.842,
2005-07,16.238,
2005-10,16.106,
2006-01,16.161,
2006-04,16.448,
2006-07,17.153,
2006-10,19.249,
2007-01,20.143,
2007-04,19.966,
2007-07,19.478,
2007-10,19.603,
2008-01,18.423,
2008-04,17.506,
2008-07,17.079,
2008-10,19.059,
2009-01,19.240,
2009-04,19.167,
2009-07,19.878,
2009-10,22.239,
2010-01,22.787,
2010-04,22.035,
2010-07,21.059,
2010-10,21.492,
2011-01,21.292,
2011-04,20.609,
2011-07,20.373,
2011-10,20.341,
2012-01,20.304,
2012-04,20.134,
2012-07,19.429,
2012-10,19.353,
2013-01,18.633,
2013-04,18.100,
2013-07,18.016,
2013-10,18.361,
2014-01,18.337,
2014-04,17.320,
2014-07,17.249,
