"",BBK01.OEAE31U,BBK01.OEAE31U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:29,
2002-01,0.600,
2002-04,0.615,
2002-07,0.642,
2002-10,0.678,
2003-01,0.640,
2003-04,0.635,
2003-07,0.652,
2003-10,0.687,
2004-01,0.703,
2004-04,0.716,
2004-07,0.712,
2004-10,0.719,
2005-01,0.709,
2005-04,0.697,
2005-07,0.698,
2005-10,0.689,
2006-01,0.700,
2006-04,0.727,
2006-07,0.734,
2006-10,0.748,
2007-01,0.740,
2007-04,0.776,
2007-07,0.823,
2007-10,0.902,
2008-01,0.897,
2008-04,0.895,
2008-07,0.923,
2008-10,0.936,
2009-01,0.429,
2009-04,0.540,
2009-07,0.532,
2009-10,0.505,
2010-01,0.546,
2010-04,0.582,
2010-07,0.597,
2010-10,0.586,
2011-01,0.630,
2011-04,0.649,
2011-07,0.641,
2011-10,0.647,
2012-01,0.642,
2012-04,0.679,
2012-07,0.698,
2012-10,0.687,
2013-01,0.698,
2013-04,0.692,
2013-07,0.726,
2013-10,0.733,
2014-01,0.719,
2014-04,0.917,
2014-07,0.720,
