"",BBK01.OELJ05K,BBK01.OELJ05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:45,
2002-01,0.109,
2002-04,0.120,
2002-07,0.122,
2002-10,0.111,
2003-01,0.116,
2003-04,0.126,
2003-07,0.127,
2003-10,0.154,
2004-01,0.154,
2004-04,0.155,
2004-07,0.165,
2004-10,0.169,
2005-01,0.099,
2005-04,0.172,
2005-07,0.172,
2005-10,0.179,
2006-01,0.184,
2006-04,0.192,
2006-07,0.200,
2006-10,0.206,
2007-01,0.205,
2007-04,0.207,
2007-07,0.216,
2007-10,0.203,
2008-01,0.200,
2008-04,0.198,
2008-07,0.191,
2008-10,0.189,
2009-01,0.189,
2009-04,0.175,
2009-07,0.174,
2009-10,0.166,
2010-01,0.162,
2010-04,0.155,
2010-07,0.155,
2010-10,0.156,
2011-01,0.157,
2011-04,0.155,
2011-07,0.153,
2011-10,0.138,
2012-01,0.138,
2012-04,0.139,
2012-07,0.137,
2012-10,0.137,
2013-01,0.127,
2013-04,0.124,
2013-07,0.123,
2013-10,0.098,
2014-01,0.143,
2014-04,0.148,
2014-07,0.130,
