"",BBK01.OEAE18N,BBK01.OEAE18N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:40,
2002-01,3.296,
2002-04,3.148,
2002-07,2.881,
2002-10,3.072,
2003-01,2.810,
2003-04,2.683,
2003-07,2.720,
2003-10,2.893,
2004-01,2.840,
2004-04,2.836,
2004-07,2.805,
2004-10,2.755,
2005-01,2.760,
2005-04,3.044,
2005-07,2.679,
2005-10,2.615,
2006-01,2.830,
2006-04,2.879,
2006-07,2.653,
2006-10,2.805,
2007-01,3.288,
2007-04,2.158,
2007-07,2.098,
2007-10,1.773,
2008-01,1.809,
2008-04,1.827,
2008-07,1.659,
2008-10,1.662,
2009-01,1.352,
2009-04,1.234,
2009-07,1.153,
2009-10,1.067,
2010-01,1.115,
2010-04,0.997,
2010-07,0.943,
2010-10,0.974,
2011-01,1.108,
2011-04,0.985,
2011-07,0.954,
2011-10,0.933,
2012-01,0.982,
2012-04,0.904,
2012-07,0.925,
2012-10,0.811,
2013-01,0.988,
2013-04,0.917,
2013-07,0.957,
2013-10,0.889,
2014-01,0.856,
2014-04,1.080,
2014-07,1.001,
