"",BBFB1.Q.N.DE.S6.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:46,
1991-01,106.024,
1991-04,84.674,
1991-07,69.313,
1991-10,61.165,
1992-01,81.155,
1992-04,91.967,
1992-07,251.459,
1992-10,117.933,
1993-01,407.317,
1993-04,445.012,
1993-07,455.959,
1993-10,470.333,
1994-01,370.965,
1994-04,386.756,
1994-07,377.982,
1994-10,379.670,
1995-01,567.003,
1995-04,619.775,
1995-07,572.302,
1995-10,562.720,
1996-01,265.766,
1996-04,287.640,
1996-07,272.079,
1996-10,280.666,
1997-01,175.039,
1997-04,184.698,
1997-07,176.667,
1997-10,177.711,
1998-01,325.802,
1998-04,376.474,
1998-07,354.599,
1998-10,379.543,
1999-01,424.798,
1999-04,461.013,
1999-07,466.727,
1999-10,478.763,
2000-01,89.582,
2000-04,122.471,
2000-07,105.434,
2000-10,148.652,
2001-01,269.715,
2001-04,336.522,
2001-07,310.318,
2001-10,300.735,
2002-01,168.556,
2002-04,156.860,
2002-07,165.455,
2002-10,165.571,
2003-01,234.226,
2003-04,287.245,
2003-07,286.429,
2003-10,283.597,
2004-01,194.050,
2004-04,127.235,
2004-07,108.293,
2004-10,115.755,
2005-01,82.624,
2005-04,72.143,
2005-07,60.462,
2005-10,604.589,
2006-01,684.218,
2006-04,670.483,
2006-07,640.786,
2006-10,633.220,
2007-01,407.196,
2007-04,442.486,
2007-07,409.428,
2007-10,403.808,
2008-01,535.011,
2008-04,544.949,
2008-07,506.398,
2008-10,516.251,
2009-01,620.727,
2009-04,622.769,
2009-07,578.446,
2009-10,633.586,
2010-01,791.926,
2010-04,871.200,
2010-07,883.672,
2010-10,953.601,
2011-01,330.330,
2011-04,415.299,
2011-07,367.963,
2011-10,342.791,
2012-01,173.141,
2012-04,264.402,
2012-07,177.475,
2012-10,152.419,
2013-01,988.290,
2013-04,1015.986,
2013-07,997.772,
2013-10,1126.894,
2014-01,470.031,Provisional value
2014-04,517.369,Provisional value
2014-07,509.904,Provisional value
