"",BBK01.OEXB14Q,BBK01.OEXB14Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:40,
2002-01,0.356,
2002-04,0.348,
2002-07,0.331,
2002-10,0.350,
2003-01,0.354,
2003-04,0.350,
2003-07,0.333,
2003-10,0.332,
2004-01,0.328,
2004-04,0.300,
2004-07,0.283,
2004-10,0.108,
2005-01,0.102,
2005-04,0.097,
2005-07,0.094,
2005-10,0.099,
2006-01,0.120,
2006-04,0.123,
2006-07,0.117,
2006-10,0.121,
2007-01,0.121,
2007-04,0.123,
2007-07,0.132,
2007-10,0.127,
2008-01,0.120,
2008-04,0.121,
2008-07,0.123,
2008-10,0.108,
2009-01,0.108,
2009-04,0.118,
2009-07,0.117,
2009-10,0.076,
2010-01,0.077,
2010-04,0.076,
2010-07,0.074,
2010-10,0.073,
2011-01,0.076,
2011-04,0.081,
2011-07,0.079,
2011-10,0.081,
2012-01,0.081,
2012-04,0.083,
2012-07,0.076,
2012-10,0.079,
2013-01,0.085,
2013-04,0.083,
2013-07,0.074,
2013-10,0.071,
2014-01,0.081,
2014-04,0.086,
2014-07,0.087,
