"",BBK01.OECB01U,BBK01.OECB01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:10,
2002-01,4.041,
2002-04,3.981,
2002-07,3.896,
2002-10,3.888,
2003-01,3.696,
2003-04,3.641,
2003-07,3.569,
2003-10,3.607,
2004-01,3.561,
2004-04,3.468,
2004-07,3.447,
2004-10,3.303,
2005-01,3.929,
2005-04,3.845,
2005-07,3.860,
2005-10,3.759,
2006-01,3.737,
2006-04,3.698,
2006-07,3.713,
2006-10,3.693,
2007-01,3.661,
2007-04,3.664,
2007-07,3.645,
2007-10,3.667,
2008-01,3.687,
2008-04,3.682,
2008-07,3.668,
2008-10,3.626,
2009-01,3.621,
2009-04,4.403,
2009-07,4.371,
2009-10,4.218,
2010-01,4.226,
2010-04,4.184,
2010-07,4.198,
2010-10,4.068,
2011-01,4.150,
2011-04,4.124,
2011-07,4.081,
2011-10,3.986,
2012-01,4.016,
2012-04,3.972,
2012-07,3.961,
2012-10,3.906,
2013-01,3.977,
2013-04,3.944,
2013-07,4.163,
2013-10,4.168,
2014-01,4.157,
2014-04,4.143,
2014-07,4.153,
