"",BBK01.OEBM01O,BBK01.OEBM01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:17,
2002-01,0.061,
2002-04,0.144,
2002-07,0.335,
2002-10,0.157,
2003-01,0.241,
2003-04,0.382,
2003-07,0.326,
2003-10,0.241,
2004-01,-0.156,
2004-04,-0.147,
2004-07,-0.011,
2004-10,0.152,
2005-01,0.610,
2005-04,0.437,
2005-07,0.271,
2005-10,0.254,
2006-01,0.196,
2006-04,0.165,
2006-07,0.169,
2006-10,0.163,
2007-01,0.160,
2007-04,0.173,
2007-07,0.229,
2007-10,0.315,
2008-01,0.324,
2008-04,0.380,
2008-07,0.449,
2008-10,0.578,
2009-01,0.557,
2009-04,0.521,
2009-07,0.436,
2009-10,0.265,
2010-01,0.219,
2010-04,0.229,
2010-07,0.240,
2010-10,0.219,
2011-01,0.292,
2011-04,0.303,
2011-07,0.307,
2011-10,0.331,
2012-01,0.469,
2012-04,0.318,
2012-07,0.363,
2012-10,0.370,
2013-01,0.247,
2013-04,0.293,
2013-07,0.281,
2013-10,0.270,
2014-01,0.221,
2014-04,0.222,
2014-07,0.257,
