"",BBK01.OEAB20H,BBK01.OEAB20H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:38,
2002-01,163.119,
2002-04,162.565,
2002-07,163.334,
2002-10,164.039,
2003-01,163.954,
2003-04,164.077,
2003-07,164.652,
2003-10,164.608,
2004-01,162.437,
2004-04,162.753,
2004-07,162.305,
2004-10,161.900,
2005-01,162.488,
2005-04,162.383,
2005-07,162.658,
2005-10,162.553,
2006-01,162.211,
2006-04,161.538,
2006-07,161.631,
2006-10,160.611,
2007-01,158.944,
2007-04,157.911,
2007-07,157.158,
2007-10,152.156,
2008-01,150.084,
2008-04,148.999,
2008-07,148.210,
2008-10,146.487,
2009-01,144.876,
2009-04,132.645,
2009-07,133.026,
2009-10,133.488,
2010-01,131.936,
2010-04,132.884,
2010-07,133.567,
2010-10,134.828,
2011-01,133.797,
2011-04,134.394,
2011-07,135.530,
2011-10,136.120,
2012-01,136.438,
2012-04,136.507,
2012-07,137.972,
2012-10,138.300,
2013-01,138.955,
2013-04,140.476,
2013-07,141.767,
2013-10,142.659,
2014-01,142.999,
2014-04,144.794,
2014-07,146.912,
