"",BBK01.OEXO03Q,BBK01.OEXO03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:03,
2002-01,0.473,
2002-04,0.422,
2002-07,0.353,
2002-10,0.369,
2003-01,0.442,
2003-04,0.410,
2003-07,0.472,
2003-10,0.450,
2004-01,0.460,
2004-04,0.358,
2004-07,0.340,
2004-10,0.219,
2005-01,0.247,
2005-04,0.228,
2005-07,0.245,
2005-10,0.226,
2006-01,0.280,
2006-04,0.263,
2006-07,0.249,
2006-10,0.283,
2007-01,0.354,
2007-04,0.313,
2007-07,0.297,
2007-10,0.322,
2008-01,0.388,
2008-04,0.363,
2008-07,0.387,
2008-10,0.519,
2009-01,0.478,
2009-04,0.382,
2009-07,0.379,
2009-10,0.533,
2010-01,0.445,
2010-04,0.286,
2010-07,0.272,
2010-10,0.324,
2011-01,0.363,
2011-04,0.382,
2011-07,0.299,
2011-10,0.310,
2012-01,0.363,
2012-04,0.257,
2012-07,0.288,
2012-10,0.314,
2013-01,0.304,
2013-04,0.249,
2013-07,0.191,
2013-10,0.183,
2014-01,0.211,
2014-04,0.198,
2014-07,0.188,
