"",BBFB1.Q.N.DE.SE.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:38,
1991-01,17.047,
1991-04,20.389,
1991-07,15.563,
1991-10,17.620,
1992-01,19.498,
1992-04,21.705,
1992-07,21.004,
1992-10,20.047,
1993-01,20.526,
1993-04,24.451,
1993-07,24.502,
1993-10,25.277,
1994-01,21.823,
1994-04,27.371,
1994-07,23.781,
1994-10,23.779,
1995-01,20.323,
1995-04,23.771,
1995-07,26.961,
1995-10,25.350,
1996-01,32.948,
1996-04,25.126,
1996-07,24.606,
1996-10,25.197,
1997-01,24.047,
1997-04,30.170,
1997-07,26.160,
1997-10,23.680,
1998-01,24.029,
1998-04,31.764,
1998-07,28.076,
1998-10,27.449,
1999-01,30.318,
1999-04,33.621,
1999-07,29.547,
1999-10,26.077,
2000-01,48.125,
2000-04,35.890,
2000-07,27.750,
2000-10,57.981,
2001-01,28.650,
2001-04,35.642,
2001-07,39.837,
2001-10,31.461,
2002-01,30.084,
2002-04,36.046,
2002-07,32.438,
2002-10,29.055,
2003-01,31.180,
2003-04,33.298,
2003-07,26.215,
2003-10,29.446,
2004-01,29.471,
2004-04,35.559,
2004-07,31.730,
2004-10,43.493,
2005-01,30.688,
2005-04,54.108,
2005-07,34.490,
2005-10,30.979,
2006-01,39.294,
2006-04,73.620,
2006-07,36.701,
2006-10,46.173,
2007-01,42.814,
2007-04,91.408,
2007-07,50.400,
2007-10,53.469,
2008-01,49.843,
2008-04,53.962,
2008-07,41.741,
2008-10,40.264,
2009-01,31.927,
2009-04,38.248,
2009-07,43.675,
2009-10,32.889,
2010-01,37.067,
2010-04,54.321,
2010-07,58.120,
2010-10,92.228,
2011-01,35.447,
2011-04,67.576,
2011-07,60.730,
2011-10,43.858,
2012-01,40.787,
2012-04,54.441,
2012-07,65.481,
2012-10,43.577,
2013-01,43.320,
2013-04,69.692,
2013-07,34.426,
2013-10,33.317,
2014-01,38.326,Provisional value
2014-04,42.033,Provisional value
2014-07,39.589,Provisional value
