"",BBK01.OEAC44U,BBK01.OEAC44U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:17,
2002-01,0.261,
2002-04,0.258,
2002-07,0.254,
2002-10,0.285,
2003-01,0.280,
2003-04,0.285,
2003-07,0.284,
2003-10,0.288,
2004-01,0.281,
2004-04,0.280,
2004-07,0.281,
2004-10,0.291,
2005-01,0.285,
2005-04,0.299,
2005-07,0.307,
2005-10,0.311,
2006-01,0.307,
2006-04,0.315,
2006-07,0.318,
2006-10,0.322,
2007-01,0.308,
2007-04,0.285,
2007-07,0.269,
2007-10,0.249,
2008-01,0.237,
2008-04,0.231,
2008-07,0.224,
2008-10,0.219,
2009-01,0.212,
2009-04,0.210,
2009-07,0.210,
2009-10,0.208,
2010-01,0.206,
2010-04,0.206,
2010-07,0.202,
2010-10,0.207,
2011-01,0.213,
2011-04,0.217,
2011-07,0.214,
2011-10,0.213,
2012-01,0.223,
2012-04,0.248,
2012-07,0.246,
2012-10,0.240,
2013-01,0.234,
2013-04,0.235,
2013-07,0.235,
2013-10,0.231,
2014-01,0.224,
2014-04,0.211,
2014-07,0.209,
