"",BBK01.OELB15H,BBK01.OELB15H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:25,
2002-01,2.644,
2002-04,2.593,
2002-07,2.577,
2002-10,2.490,
2003-01,2.391,
2003-04,2.342,
2003-07,2.300,
2003-10,2.229,
2004-01,2.167,
2004-04,2.146,
2004-07,2.106,
2004-10,2.032,
2005-01,1.952,
2005-04,1.907,
2005-07,1.884,
2005-10,1.850,
2006-01,1.772,
2006-04,1.761,
2006-07,1.754,
2006-10,1.720,
2007-01,1.671,
2007-04,1.675,
2007-07,1.654,
2007-10,1.631,
2008-01,1.604,
2008-04,1.593,
2008-07,1.581,
2008-10,1.567,
2009-01,1.553,
2009-04,1.547,
2009-07,1.643,
2009-10,1.717,
2010-01,1.690,
2010-04,1.754,
2010-07,1.775,
2010-10,1.740,
2011-01,1.736,
2011-04,1.742,
2011-07,1.727,
2011-10,1.693,
2012-01,1.697,
2012-04,1.864,
2012-07,1.876,
2012-10,1.908,
2013-01,1.883,
2013-04,1.890,
2013-07,1.943,
2013-10,1.954,
2014-01,1.950,
2014-04,1.960,
2014-07,2.012,
