"",BBK01.OELB08P,BBK01.OELB08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:46,
2002-01,4.176,
2002-04,4.206,
2002-07,4.101,
2002-10,4.137,
2003-01,4.269,
2003-04,4.284,
2003-07,4.314,
2003-10,4.358,
2004-01,4.398,
2004-04,4.412,
2004-07,4.463,
2004-10,4.471,
2005-01,4.450,
2005-04,4.448,
2005-07,4.490,
2005-10,4.482,
2006-01,4.488,
2006-04,4.523,
2006-07,4.534,
2006-10,4.542,
2007-01,4.523,
2007-04,4.534,
2007-07,4.571,
2007-10,4.608,
2008-01,4.597,
2008-04,4.649,
2008-07,4.647,
2008-10,4.645,
2009-01,4.613,
2009-04,4.642,
2009-07,4.711,
2009-10,4.755,
2010-01,4.762,
2010-04,4.820,
2010-07,4.872,
2010-10,4.952,
2011-01,4.985,
2011-04,5.066,
2011-07,5.140,
2011-10,5.199,
2012-01,5.227,
2012-04,5.706,
2012-07,5.778,
2012-10,5.827,
2013-01,5.836,
2013-04,5.877,
2013-07,5.779,
2013-10,5.824,
2014-01,5.794,
2014-04,5.817,
2014-07,5.850,
