"",BBNZ1.Q.DE.S.H.0933.A,BBNZ1.Q.DE.S.H.0933.A_FLAGS
"",Germany / National accounts / Unit labor costs on an hourly basis / Construction / Chain-linked index / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:12,
1991-01,62.74,
1991-04,66.54,
1991-07,66.26,
1991-10,67.64,
1992-01,67.56,
1992-04,69.85,
1992-07,71.40,
1992-10,70.18,
1993-01,73.73,
1993-04,75.58,
1993-07,75.32,
1993-10,78.13,
1994-01,78.04,
1994-04,76.80,
1994-07,77.33,
1994-10,78.30,
1995-01,81.83,
1995-04,81.14,
1995-07,82.46,
1995-10,85.03,
1996-01,91.15,
1996-04,83.38,
1996-07,84.43,
1996-10,87.11,
1997-01,90.13,
1997-04,82.53,
1997-07,84.17,
1997-10,85.43,
1998-01,85.64,
1998-04,85.96,
1998-07,85.45,
1998-10,86.13,
1999-01,87.13,
1999-04,86.51,
1999-07,84.02,
1999-10,83.59,
2000-01,86.92,
2000-04,87.81,
2000-07,87.13,
2000-10,87.36,
2001-01,88.29,
2001-04,89.71,
2001-07,89.19,
2001-10,88.33,
2002-01,87.97,
2002-04,88.81,
2002-07,88.49,
2002-10,89.87,
2003-01,91.07,
2003-04,91.58,
2003-07,89.42,
2003-10,91.12,
2004-01,90.08,
2004-04,90.81,
2004-07,92.40,
2004-10,92.02,
2005-01,94.06,
2005-04,90.92,
2005-07,91.33,
2005-10,92.96,
2006-01,94.23,
2006-04,94.34,
2006-07,92.81,
2006-10,90.57,
2007-01,92.59,
2007-04,97.64,
2007-07,97.87,
2007-10,96.13,
2008-01,94.83,
2008-04,95.96,
2008-07,98.58,
2008-10,99.86,
2009-01,104.30,
2009-04,106.19,
2009-07,104.64,
2009-10,106.41,
2010-01,99.76,
2010-04,97.09,
2010-07,99.56,
2010-10,103.75,
2011-01,99.26,
2011-04,100.67,
2011-07,102.69,
2011-10,101.13,
2012-01,100.79,
2012-04,104.31,
2012-07,106.45,
2012-10,106.52,
2013-01,106.46,
2013-04,105.34,
2013-07,104.72,
2013-10,105.83,
2014-01,102.88,
2014-04,105.81,
2014-07,106.29,
2014-10,105.43,
