"",BBK01.OEXB09H,BBK01.OEXB09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:03,
2002-01,9.314,
2002-04,8.954,
2002-07,8.770,
2002-10,8.529,
2003-01,8.454,
2003-04,8.908,
2003-07,8.598,
2003-10,8.333,
2004-01,7.905,
2004-04,7.972,
2004-07,7.373,
2004-10,7.111,
2005-01,7.356,
2005-04,6.896,
2005-07,6.940,
2005-10,7.143,
2006-01,7.051,
2006-04,7.366,
2006-07,7.386,
2006-10,7.542,
2007-01,7.717,
2007-04,8.163,
2007-07,8.291,
2007-10,8.871,
2008-01,8.816,
2008-04,8.888,
2008-07,8.998,
2008-10,8.040,
2009-01,8.197,
2009-04,8.351,
2009-07,8.675,
2009-10,8.155,
2010-01,8.314,
2010-04,8.300,
2010-07,8.487,
2010-10,8.240,
2011-01,8.480,
2011-04,8.558,
2011-07,11.723,
2011-10,12.378,
2012-01,12.693,
2012-04,12.816,
2012-07,12.847,
2012-10,13.459,
2013-01,13.879,
2013-04,14.129,
2013-07,14.479,
2013-10,14.778,
2014-01,15.263,
2014-04,15.178,
2014-07,15.407,
