"",BBK01.OELB18V,BBK01.OELB18V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:57,
2002-01,0.109,
2002-04,0.108,
2002-07,0.116,
2002-10,0.111,
2003-01,0.111,
2003-04,0.113,
2003-07,0.114,
2003-10,0.104,
2004-01,0.105,
2004-04,0.106,
2004-07,0.103,
2004-10,0.103,
2005-01,0.110,
2005-04,0.102,
2005-07,0.099,
2005-10,0.093,
2006-01,0.092,
2006-04,0.092,
2006-07,0.101,
2006-10,0.089,
2007-01,0.087,
2007-04,0.086,
2007-07,0.089,
2007-10,0.090,
2008-01,0.081,
2008-04,0.083,
2008-07,0.084,
2008-10,0.085,
2009-01,0.085,
2009-04,0.086,
2009-07,0.077,
2009-10,0.075,
2010-01,0.076,
2010-04,0.071,
2010-07,0.073,
2010-10,0.069,
2011-01,0.064,
2011-04,0.068,
2011-07,0.070,
2011-10,0.066,
2012-01,0.065,
2012-04,0.070,
2012-07,0.074,
2012-10,0.067,
2013-01,0.069,
2013-04,0.075,
2013-07,0.077,
2013-10,0.073,
2014-01,0.074,
2014-04,0.076,
2014-07,0.082,
