"",BBK01.OEAL04J,BBK01.OEAL04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:15,
2002-01,0.876,
2002-04,0.801,
2002-07,0.790,
2002-10,0.794,
2003-01,0.701,
2003-04,0.654,
2003-07,0.637,
2003-10,0.591,
2004-01,0.631,
2004-04,0.591,
2004-07,0.473,
2004-10,0.424,
2005-01,0.414,
2005-04,0.382,
2005-07,0.392,
2005-10,0.397,
2006-01,0.431,
2006-04,0.450,
2006-07,0.474,
2006-10,0.514,
2007-01,0.549,
2007-04,0.602,
2007-07,0.684,
2007-10,0.925,
2008-01,0.998,
2008-04,1.110,
2008-07,1.258,
2008-10,1.460,
2009-01,1.123,
2009-04,0.987,
2009-07,0.682,
2009-10,0.504,
2010-01,0.434,
2010-04,0.381,
2010-07,0.347,
2010-10,0.357,
2011-01,0.346,
2011-04,0.379,
2011-07,0.404,
2011-10,0.414,
2012-01,0.390,
2012-04,0.338,
2012-07,0.308,
2012-10,0.271,
2013-01,0.236,
2013-04,0.214,
2013-07,0.204,
2013-10,0.195,
2014-01,0.171,
2014-04,0.173,
2014-07,0.162,
