"",BBK01.OUG322,BBK01.OUG322_FLAGS
"",Time deposits of foreign non-banks / for more than one year up to and including two years / Landesbanken,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:27:32,
1999-01,0.448,
1999-02,0.485,
1999-03,0.711,
1999-04,0.967,
1999-05,0.955,
1999-06,0.975,
1999-07,0.881,
1999-08,1.203,
1999-09,1.228,
1999-10,2.089,
1999-11,2.257,
1999-12,2.126,
2000-01,2.025,
2000-02,1.078,
2000-03,1.063,
2000-04,0.712,
2000-05,0.778,
2000-06,0.834,
2000-07,0.854,
2000-08,0.567,
2000-09,0.843,
2000-10,0.892,
2000-11,1.024,
2000-12,1.039,
2001-01,1.036,
2001-02,1.000,
2001-03,1.021,
2001-04,1.146,
2001-05,1.519,
2001-06,1.055,
2001-07,1.045,
2001-08,0.944,
2001-09,1.004,
2001-10,1.053,
2001-11,1.144,
2001-12,1.107,
2002-01,1.152,
2002-02,1.134,
2002-03,1.130,
2002-04,0.982,
2002-05,1.039,
2002-06,0.959,
2002-07,0.857,
2002-08,0.869,
2002-09,0.629,
2002-10,0.580,
2002-11,0.385,
2002-12,0.406,
2003-01,0.465,
2003-02,0.716,
2003-03,0.697,
2003-04,0.684,
2003-05,0.787,
2003-06,0.773,
2003-07,0.796,
2003-08,0.796,
2003-09,0.754,
2003-10,0.748,
2003-11,0.748,
2003-12,0.724,
2004-01,0.654,
2004-02,0.551,
2004-03,0.549,
2004-04,0.553,
2004-05,0.434,
2004-06,0.321,
2004-07,0.261,
2004-08,0.120,
2004-09,0.077,
2004-10,0.077,
2004-11,0.060,
2004-12,0.113,
2005-01,0.292,
2005-02,0.092,
2005-03,0.091,
2005-04,0.128,
2005-05,0.131,
2005-06,0.132,
2005-07,0.124,
2005-08,0.141,
2005-09,0.112,
2005-10,0.117,
2005-11,0.293,
2005-12,0.275,
2006-01,0.269,
2006-02,0.272,
2006-03,0.267,
2006-04,0.242,
2006-05,0.244,
2006-06,0.234,
2006-07,0.249,
2006-08,0.364,
2006-09,0.426,
2006-10,0.434,
2006-11,0.241,
2006-12,0.261,
2007-01,0.290,
2007-02,0.287,
2007-03,0.286,
2007-04,0.458,
2007-05,0.525,
2007-06,0.574,
2007-07,0.627,
2007-08,0.462,
2007-09,0.430,
2007-10,0.480,
2007-11,0.514,
2007-12,0.496,
2008-01,0.497,
2008-02,0.492,
2008-03,0.461,
2008-04,0.280,
2008-05,0.217,
2008-06,0.241,
2008-07,0.222,
2008-08,0.239,
2008-09,0.254,
2008-10,0.318,
2008-11,0.262,
2008-12,0.188,
2009-01,0.190,
2009-02,0.168,
2009-03,0.169,
2009-04,0.152,
2009-05,0.112,
2009-06,0.106,
2009-07,0.098,
2009-08,0.097,
2009-09,0.076,
2009-10,0.067,
2009-11,0.097,
2009-12,0.106,
2010-01,0.090,
2010-02,0.324,
2010-03,0.332,
2010-04,0.325,
2010-05,0.313,
2010-06,0.269,
2010-07,0.268,
2010-08,0.259,
2010-09,0.258,
2010-10,0.259,
2010-11,0.258,
2010-12,0.246,
2011-01,0.246,
2011-02,0.143,
2011-03,0.145,
2011-04,0.145,
2011-05,0.147,
2011-06,0.156,
2011-07,0.157,
2011-08,0.222,
2011-09,0.222,
2011-10,0.241,
2011-11,0.273,
2011-12,0.276,
2012-01,0.276,
2012-02,0.289,
2012-03,0.314,
2012-04,0.313,
2012-05,0.318,
2012-06,0.306,
2012-07,0.307,
2012-08,0.241,
2012-09,0.251,
2012-10,0.248,
2012-11,0.237,
2012-12,0.237,
2013-01,0.226,
2013-02,0.233,
2013-03,0.157,
2013-04,0.167,
2013-05,0.156,
2013-06,0.154,
2013-07,0.236,
2013-08,0.236,
2013-09,0.253,
2013-10,0.287,
2013-11,0.322,
2013-12,0.333,
2014-01,0.321,
2014-02,0.311,
2014-03,0.335,
2014-04,0.313,
2014-05,0.323,
2014-06,0.379,
2014-07,0.169,
2014-08,0.273,
2014-09,0.272,
2014-10,0.251,
2014-11,0.255,
2014-12,0.243,Provisional value
