"",BBK01.OEAA05S,BBK01.OEAA05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:56,
2002-01,21.242,
2002-04,21.207,
2002-07,21.211,
2002-10,21.340,
2003-01,21.187,
2003-04,21.268,
2003-07,21.418,
2003-10,21.716,
2004-01,21.470,
2004-04,21.483,
2004-07,21.537,
2004-10,20.059,
2005-01,21.067,
2005-04,21.228,
2005-07,21.190,
2005-10,21.124,
2006-01,21.082,
2006-04,21.211,
2006-07,21.375,
2006-10,21.471,
2007-01,21.591,
2007-04,21.746,
2007-07,21.956,
2007-10,21.983,
2008-01,21.971,
2008-04,22.297,
2008-07,22.695,
2008-10,22.777,
2009-01,22.812,
2009-04,23.781,
2009-07,24.044,
2009-10,24.398,
2010-01,24.546,
2010-04,25.109,
2010-07,25.459,
2010-10,25.753,
2011-01,26.137,
2011-04,26.786,
2011-07,27.235,
2011-10,27.974,
2012-01,28.190,
2012-04,28.998,
2012-07,29.439,
2012-10,29.689,
2013-01,29.823,
2013-04,29.970,
2013-07,30.235,
2013-10,30.405,
2014-01,30.419,
2014-04,30.426,
2014-07,30.814,
