"",BBFN1.M.DE.N.1.L.E1.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.E1.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Countries in Europe,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:39,
1995-01,116.596,
1995-02,116.452,
1995-03,119.911,
1995-04,118.405,
1995-05,120.747,
1995-06,120.720,
1995-07,120.516,
1995-08,119.955,
1995-09,122.739,
1995-10,123.213,
1995-11,125.014,
1995-12,119.944,
1996-01,118.079,
1996-02,121.445,
1996-03,121.830,
1996-04,121.577,
1996-05,125.530,
1996-06,122.621,
1996-07,120.969,
1996-08,119.929,
1996-09,125.927,
1996-10,126.088,
1996-11,127.722,
1996-12,127.787,
1997-01,124.841,
1997-02,128.467,
1997-03,131.436,
1997-04,133.376,
1997-05,133.718,
1997-06,136.737,
1997-07,138.574,
1997-08,133.597,
1997-09,137.551,
1997-10,141.314,
1997-11,140.735,
1997-12,144.504,
1998-01,142.158,
1998-02,144.566,
1998-03,151.282,
1998-04,156.059,
1998-05,157.390,
1998-06,156.058,
1998-07,155.861,
1998-08,154.126,
1998-09,156.839,
1998-10,161.081,
1998-11,159.652,
1998-12,157.933,
1999-01,158.223,
1999-02,159.289,
1999-03,165.837,
1999-04,168.627,
1999-05,172.740,
1999-06,180.336,
1999-07,185.646,
1999-08,189.717,
1999-09,193.371,
1999-10,201.735,
1999-11,204.504,
1999-12,221.741,
2000-01,228.622,
2000-02,239.354,
2000-03,243.450,
2000-04,244.962,
2000-05,253.552,
2000-06,266.172,
2000-07,270.574,
2000-08,288.275,
2000-09,320.366,
2000-10,329.680,
2000-11,323.647,
2000-12,359.014,
2001-01,372.313,
2001-02,375.850,
2001-03,369.640,
2001-04,372.933,
2001-05,369.151,
2001-06,376.079,
2001-07,388.348,
2001-08,394.095,
2001-09,401.485,
2001-10,405.082,
2001-11,402.358,
2001-12,407.851,
2002-01,409.654,
2002-02,420.485,
2002-03,416.596,
2002-04,427.468,
2002-05,441.478,
2002-06,435.621,
2002-07,432.351,
2002-08,431.535,
2002-09,441.099,
2002-10,445.546,
2002-11,445.968,
2002-12,440.661,
2003-01,444.724,
2003-02,448.412,
2003-03,447.192,
2003-04,453.140,
2003-05,455.997,
2003-06,464.129,
2003-07,465.998,
2003-08,467.675,
2003-09,467.819,
2003-10,458.714,
2003-11,464.129,
2003-12,455.441,
2004-01,455.031,
2004-02,437.413,
2004-03,432.916,
2004-04,427.842,
2004-05,431.561,
2004-06,434.842,
2004-07,434.237,
2004-08,430.699,
2004-09,429.347,
2004-10,422.268,
2004-11,417.316,
2004-12,411.663,
2005-01,409.290,
2005-02,413.927,
2005-03,415.935,
2005-04,411.535,
2005-05,415.523,
2005-06,422.448,
2005-07,419.814,
2005-08,422.551,
2005-09,431.576,
2005-10,439.278,
2005-11,442.829,
2005-12,456.485,
2006-01,459.896,
2006-02,474.618,
2006-03,480.566,
2006-04,478.973,
2006-05,488.233,
2006-06,497.128,
2006-07,495.536,
2006-08,495.576,
2006-09,519.127,
2006-10,518.536,
2006-11,525.448,
2006-12,524.977,
2007-01,533.260,
2007-02,541.488,
2007-03,540.264,
2007-04,540.847,
2007-05,546.877,
2007-06,558.173,Corrected value
2007-07,552.768,
2007-08,548.863,
2007-09,559.900,
2007-10,554.182,
2007-11,548.754,
2007-12,538.502,
2008-01,541.610,
2008-02,551.680,
2008-03,558.628,
2008-04,565.604,
2008-05,568.545,
2008-06,575.092,
2008-07,564.297,
2008-08,562.195,
2008-09,572.579,
2008-10,587.532,
2008-11,589.083,
2008-12,590.491,
2009-01,587.164,
2009-02,595.701,
2009-03,600.559,
2009-04,601.263,
2009-05,600.202,
2009-06,608.403,
2009-07,606.799,
2009-08,605.923,
2009-09,609.699,
2009-10,613.301,
2009-11,614.344,
2009-12,631.853,
2010-01,602.874,
2010-02,606.963,
2010-03,619.140,
2010-04,618.830,
2010-05,627.699,
2010-06,633.269,
2010-07,643.299,
2010-08,645.779,
2010-09,659.530,
2010-10,652.787,
2010-11,654.926,
2010-12,668.362,
2011-01,674.698,
2011-02,665.445,
2011-03,671.276,
2011-04,676.888,
2011-05,684.491,
2011-06,694.295,
2011-07,706.644,
2011-08,711.098,
2011-09,732.532,
2011-10,714.427,
2011-11,718.048,
2011-12,722.894,
2012-01,717.039,
2012-02,717.056,
2012-03,738.849,
2012-04,746.202,
2012-05,751.677,
2012-06,764.346,
2012-07,758.962,
2012-08,744.699,
2012-09,758.543,
2012-10,760.280,
2012-11,764.799,
2012-12,758.298,
2013-01,759.037,
2013-02,757.085,
2013-03,775.827,
2013-04,799.565,
2013-05,795.238,
2013-06,803.318,
2013-07,790.845,
2013-08,776.806,
2013-09,789.723,
2013-10,785.346,
2013-11,786.920,
2013-12,766.542,
2014-01,764.488,
2014-02,768.994,
2014-03,779.958,
2014-04,780.520,
2014-05,784.047,
2014-06,792.580,
2014-07,798.965,
2014-08,793.923,
2014-09,786.391,
2014-10,779.543,
2014-11,786.921,
2014-12,764.976,
