"",BBK01.CEFB0C,BBK01.CEFB0C_FLAGS
"",long-term debt securities  debtor: Total                              creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:26,
1999-01,11.7,
1999-04,11.3,
1999-07,10.6,
1999-10,7.8,
2000-01,8.3,
2000-04,11.5,
2000-07,11.0,
2000-10,8.2,
2001-01,8.2,
2001-04,7.8,
2001-07,7.6,
2001-10,6.5,
2002-01,6.0,
2002-04,5.8,
2002-07,5.1,
2002-10,7.7,
2003-01,8.1,
2003-04,8.2,
2003-07,7.8,
2003-10,8.0,
2004-01,8.3,
2004-04,8.2,
2004-07,8.9,
2004-10,8.9,
2005-01,9.8,
2005-04,10.2,
2005-07,10.6,
2005-10,10.2,
2006-01,6.1,
2006-04,6.4,
2006-07,6.6,
2006-10,6.3,
2007-01,6.6,
2007-04,7.0,
2007-07,7.5,
2007-10,7.4,
2008-01,23.0,
2008-04,46.1,
2008-07,46.6,
2008-10,46.6,
2009-01,43.6,
2009-04,44.4,
2009-07,46.8,
2009-10,48.6,
2010-01,48.7,
2010-04,53.4,
2010-07,53.2,
2010-10,151.2,
2011-01,142.5,
2011-04,140.4,
2011-07,141.3,
2011-10,137.1,
2012-01,132.8,
2012-04,133.6,
2012-07,130.0,
2012-10,136.0,
2013-01,133.2,
2013-04,130.6,
2013-07,126.3,
2013-10,126.7,
2014-01,125.5,
2014-04,124.4,
2014-07,124.5,
